Topic-1,Topic-2,Topic-3,Topic-4,Topic-5,Topic-6,Topic-7,Topic-8,Topic-9,Topic-10,Topic-11,Topic-12,Topic-13,Topic-14,Topic-15,Topic-16,Topic-17,Topic-18,Topic-19,Topic-20
"(446, 0.024257376145096068)","(532, 0.0)","(532, 0.0)","(326, 0.07428455329440908)","(532, 0.0)","(551, 0.035171494311255554)","(578, 0.05253637821653872)","(532, 0.0)","(185, 0.06127650116580153)","(50, 0.09985378921520524)","(114, 0.0630136512134793)","(109, 0.11742908253445536)","(532, 0.0)","(532, 0.0)","(111, 0.05885082181725734)","(655, 0.0622920804138031)","(582, 0.05651067393170134)","(532, 0.0)","(508, 0.09023182762282872)","(532, 0.0)"
"(535, 0.02425482243719497)","(533, 0.0)","(533, 0.0)","(117, 0.07403442707939047)","(533, 0.0)","(304, 0.03513101124358341)","(593, 0.05176078210531427)","(533, 0.0)","(103, 0.061030341441768984)","(498, 0.09976478398974527)","(278, 0.06265161670452445)","(386, 0.11711529075712633)","(533, 0.0)","(533, 0.0)","(36, 0.058588843607508635)","(186, 0.06184583502321727)","(48, 0.056250205795102794)","(533, 0.0)","(136, 0.0900971122640552)","(533, 0.0)"
"(560, 0.02408066519781169)","(534, 0.0)","(534, 0.0)","(603, 0.07388778250000819)","(534, 0.0)","(562, 0.035044452754629876)","(87, 0.05144014151985241)","(534, 0.0)","(186, 0.0590975424184173)","(109, 0.09904682607478667)","(51, 0.06239533838507809)","(385, 0.11688278916902121)","(534, 0.0)","(534, 0.0)","(50, 0.05849721099240369)","(558, 0.061740724710952065)","(256, 0.05597580025428522)","(534, 0.0)","(64, 0.09005986095548707)","(534, 0.0)"
"(15, 0.02357113896290584)","(535, 0.0)","(535, 0.0)","(388, 0.07363974456497163)","(535, 0.0)","(162, 0.034959596062416054)","(433, 0.05140081078560949)","(535, 0.0)","(198, 0.058942257318534697)","(667, 0.09894471499899549)","(616, 0.061495079667443005)","(441, 0.11581751591806248)","(535, 0.0)","(535, 0.0)","(493, 0.058422096496301534)","(8, 0.06050028237491103)","(26, 0.055578794667706974)","(535, 0.0)","(438, 0.0900585884605547)","(535, 0.0)"
"(40, 0.023551752155103054)","(536, 0.0)","(536, 0.0)","(220, 0.07314614398215784)","(536, 0.0)","(58, 0.03491153170222791)","(105, 0.051250731739476245)","(536, 0.0)","(217, 0.05879832606998216)","(149, 0.09882500793327206)","(201, 0.0614830430715024)","(639, 0.1147730789965931)","(536, 0.0)","(536, 0.0)","(165, 0.05825766475014973)","(76, 0.060179129721598834)","(395, 0.0555559285047584)","(536, 0.0)","(461, 0.08995584734106762)","(536, 0.0)"
"(407, 0.023373961848357647)","(537, 0.0)","(537, 0.0)","(391, 0.07265900033193205)","(537, 0.0)","(673, 0.03471123358413668)","(603, 0.051017482801929394)","(537, 0.0)","(554, 0.05856702032401662)","(592, 0.0984251830800405)","(441, 0.06129844785584591)","(5, 0.11451167840284142)","(537, 0.0)","(537, 0.0)","(428, 0.05796521030307027)","(505, 0.05958870758058174)","(273, 0.05519198608547119)","(537, 0.0)","(86, 0.08990403419018343)","(537, 0.0)"
"(256, 0.022712873187294508)","(538, 0.0)","(538, 0.0)","(509, 0.07262900819028356)","(538, 0.0)","(317, 0.034499176873382595)","(639, 0.051011297031320714)","(538, 0.0)","(247, 0.05761886368444099)","(646, 0.09797941132431777)","(302, 0.0611171560189186)","(141, 0.11379324824145011)","(538, 0.0)","(538, 0.0)","(114, 0.05775685246458303)","(441, 0.05799883126425999)","(121, 0.0551187689486118)","(538, 0.0)","(401, 0.08928861174497152)","(538, 0.0)"
"(609, 0.022571123453748156)","(54, 0.0)","(54, 0.0)","(88, 0.07244008373701614)","(54, 0.0)","(263, 0.034442937687333315)","(22, 0.050128889528161504)","(54, 0.0)","(268, 0.05740325546990427)","(151, 0.09724243229954121)","(256, 0.06104796749512928)","(675, 0.11346497864129194)","(54, 0.0)","(54, 0.0)","(632, 0.05768100867842561)","(292, 0.05722040967495223)","(518, 0.054591735492436955)","(54, 0.0)","(540, 0.08805097819584122)","(54, 0.0)"
"(459, 0.022551704350128286)","(540, 0.0)","(540, 0.0)","(202, 0.0723854917444035)","(540, 0.0)","(117, 0.03443943340406238)","(482, 0.049767562626124605)","(540, 0.0)","(441, 0.057315064451317704)","(131, 0.09673469858065788)","(5, 0.059697279391355634)","(470, 0.11328255140883062)","(540, 0.0)","(540, 0.0)","(470, 0.05756168653375939)","(31, 0.05674120806962707)","(675, 0.05411688701560213)","(540, 0.0)","(173, 0.08763822472229818)","(540, 0.0)"
"(93, 0.02247066338069635)","(541, 0.0)","(541, 0.0)","(63, 0.07188326506256772)","(541, 0.0)","(424, 0.03430885681780109)","(613, 0.04961059090357549)","(541, 0.0)","(520, 0.05655266509328251)","(96, 0.09660714776978149)","(115, 0.05938766253060643)","(100, 0.11289537015667238)","(541, 0.0)","(541, 0.0)","(667, 0.057522842715708886)","(185, 0.054956462819764434)","(75, 0.05385355572740305)","(541, 0.0)","(547, 0.08746111109840772)","(541, 0.0)"
"(548, 0.022406934969641624)","(542, 0.0)","(542, 0.0)","(121, 0.07131348169992613)","(542, 0.0)","(591, 0.03425602114955548)","(329, 0.049460749595728375)","(542, 0.0)","(76, 0.0565281067011889)","(660, 0.09650566338581376)","(416, 0.05897643919895252)","(579, 0.11102424409690942)","(542, 0.0)","(542, 0.0)","(389, 0.05747137043318573)","(66, 0.05364544174832246)","(521, 0.05382947007093689)","(542, 0.0)","(186, 0.08682228146022383)","(542, 0.0)"
"(146, 0.022389863188809842)","(543, 0.0)","(543, 0.0)","(446, 0.07110154649790251)","(543, 0.0)","(413, 0.03403890654783293)","(636, 0.04879321991336374)","(543, 0.0)","(31, 0.05607227062961664)","(420, 0.09520005854553316)","(79, 0.058424930851279915)","(494, 0.1094996136729887)","(543, 0.0)","(543, 0.0)","(472, 0.057415052016916136)","(198, 0.053587625400918604)","(285, 0.05367221716093186)","(543, 0.0)","(628, 0.08670704366634996)","(543, 0.0)"
"(190, 0.022126558698581954)","(544, 0.0)","(544, 0.0)","(306, 0.07106781833021185)","(544, 0.0)","(20, 0.03383887005982762)","(20, 0.04868813055006716)","(544, 0.0)","(663, 0.05582844993989112)","(117, 0.09494537489807683)","(228, 0.05840027947017711)","(15, 0.10917432230366235)","(544, 0.0)","(544, 0.0)","(457, 0.05717736309190133)","(217, 0.053456769220450444)","(68, 0.05358129765332315)","(544, 0.0)","(60, 0.08662723306634189)","(544, 0.0)"
"(503, 0.02211605496684383)","(545, 0.0)","(545, 0.0)","(176, 0.07009581086070651)","(545, 0.0)","(52, 0.03374213058697065)","(100, 0.0478467332339669)","(545, 0.0)","(271, 0.054443261495800345)","(30, 0.0942941405534614)","(500, 0.058254131217713764)","(173, 0.10905369764924838)","(545, 0.0)","(545, 0.0)","(15, 0.05688502672713325)","(322, 0.05337586400892915)","(146, 0.05330294076688674)","(545, 0.0)","(462, 0.08641529595511713)","(545, 0.0)"
"(429, 0.022080102045540582)","(546, 0.0)","(546, 0.0)","(234, 0.0699590708894361)","(546, 0.0)","(195, 0.033571698291726675)","(655, 0.047546862894981314)","(546, 0.0)","(586, 0.05417301481097133)","(22, 0.09330579168174671)","(568, 0.05822485737848629)","(251, 0.10899934667311575)","(546, 0.0)","(546, 0.0)","(500, 0.05670680266329144)","(554, 0.053246476191476724)","(522, 0.05328937078683479)","(546, 0.0)","(610, 0.08591447849844497)","(546, 0.0)"
"(114, 0.022076229817687063)","(547, 0.0)","(547, 0.0)","(596, 0.0699578322073463)","(547, 0.0)","(116, 0.033564322098334085)","(114, 0.04688474094255075)","(547, 0.0)","(596, 0.054115212601632455)","(406, 0.09298000822488449)","(675, 0.05770014643548593)","(228, 0.10799609332447287)","(547, 0.0)","(547, 0.0)","(230, 0.0563189583557712)","(59, 0.05318219916815809)","(328, 0.0527057135490517)","(547, 0.0)","(57, 0.08512945698354567)","(547, 0.0)"
"(287, 0.02192740896782534)","(548, 0.0)","(548, 0.0)","(295, 0.06973999068884204)","(548, 0.0)","(384, 0.03355835139140103)","(443, 0.04668714094378119)","(548, 0.0)","(158, 0.05396362881448946)","(49, 0.0928072460444454)","(197, 0.057501404332228084)","(77, 0.10773139753480723)","(548, 0.0)","(548, 0.0)","(290, 0.05561252098371216)","(654, 0.05307132400402287)","(279, 0.05148950125417137)","(548, 0.0)","(384, 0.08486462860866802)","(548, 0.0)"
"(175, 0.02183996857816315)","(549, 0.0)","(549, 0.0)","(98, 0.06846892182630594)","(549, 0.0)","(86, 0.03293759493511296)","(551, 0.046483855819172144)","(549, 0.0)","(322, 0.05392159444523341)","(196, 0.09215332619678582)","(448, 0.057231742012594164)","(93, 0.10756184283349349)","(549, 0.0)","(549, 0.0)","(86, 0.05527007942885217)","(256, 0.05302627288422004)","(472, 0.05141361793834263)","(549, 0.0)","(410, 0.08469182332096177)","(549, 0.0)"
"(144, 0.02181529609001786)","(55, 0.0)","(55, 0.0)","(324, 0.06826911815008675)","(55, 0.0)","(612, 0.03226394876558039)","(650, 0.0458101454024109)","(55, 0.0)","(59, 0.05079978527254775)","(462, 0.09030613699259604)","(429, 0.057136026865574556)","(167, 0.10722618610439438)","(55, 0.0)","(55, 0.0)","(217, 0.05472457987148684)","(596, 0.05257343399259286)","(162, 0.05109389835714413)","(55, 0.0)","(147, 0.08461912991618427)","(55, 0.0)"
"(181, 0.021657972380018705)","(550, 0.0)","(550, 0.0)","(129, 0.06787584084745395)","(550, 0.0)","(634, 0.03188798792707974)","(652, 0.0456260007325511)","(550, 0.0)","(654, 0.05034952388531777)","(456, 0.09024371452469053)","(272, 0.05695245489207609)","(88, 0.1067012900335112)","(550, 0.0)","(550, 0.0)","(18, 0.05454861066485317)","(247, 0.052384455061701786)","(429, 0.05102561404255298)","(550, 0.0)","(503, 0.08455484876200078)","(550, 0.0)"
"(191, 0.021602965263153612)","(551, 0.0)","(551, 0.0)","(103, 0.06722757221273602)","(551, 0.0)","(186, 0.03061744247437063)","(202, 0.045291483937748046)","(551, 0.0)","(681, 0.05023952921662983)","(189, 0.08992815320132255)","(521, 0.05640668559986439)","(28, 0.1060418570027145)","(551, 0.0)","(551, 0.0)","(459, 0.05436803245500372)","(148, 0.05234864266992267)","(70, 0.050867330578424574)","(551, 0.0)","(189, 0.08420992240520644)","(551, 0.0)"
"(319, 0.02146716880896063)","(552, 0.0)","(552, 0.0)","(504, 0.06683528032375932)","(552, 0.0)","(330, 0.029644842805900865)","(421, 0.04498088639402354)","(552, 0.0)","(463, 0.05015955073977292)","(108, 0.08974876054101433)","(575, 0.056398419190307275)","(197, 0.10540998671776278)","(552, 0.0)","(552, 0.0)","(135, 0.05432457660313753)","(681, 0.051862219676580446)","(611, 0.05070942256048883)","(552, 0.0)","(552, 0.0836829707248113)","(552, 0.0)"
"(54, 0.02143605006244124)","(554, 0.0)","(554, 0.0)","(461, 0.06468556716112173)","(554, 0.0)","(270, 0.02895777901632253)","(240, 0.04494949999625936)","(554, 0.0)","(433, 0.050025409447491384)","(629, 0.0894316164919487)","(78, 0.05634947626145601)","(638, 0.10385223830519139)","(554, 0.0)","(554, 0.0)","(8, 0.0540596856155548)","(520, 0.051415118360488204)","(416, 0.05070424461870884)","(554, 0.0)","(62, 0.0833147064479511)","(554, 0.0)"
"(681, 0.021432879832687976)","(555, 0.0)","(555, 0.0)","(401, 0.0641151624057117)","(555, 0.0)","(559, 0.028662510157495713)","(473, 0.04459596596866316)","(555, 0.0)","(148, 0.05000356897219807)","(193, 0.08927257467929804)","(509, 0.05599997234481168)","(329, 0.1036323811940365)","(555, 0.0)","(555, 0.0)","(89, 0.05405274064811159)","(162, 0.051208084572410835)","(139, 0.050680664616094905)","(555, 0.0)","(606, 0.0830398346373102)","(555, 0.0)"
"(399, 0.021122256293566816)","(556, 0.0)","(556, 0.0)","(508, 0.06375858614002915)","(556, 0.0)","(599, 0.028570944651953784)","(440, 0.04360464568931807)","(556, 0.0)","(256, 0.04997621409925305)","(6, 0.08916068362675549)","(121, 0.055957931016504994)","(503, 0.10310583820692877)","(556, 0.0)","(556, 0.0)","(175, 0.05400882583240496)","(578, 0.05108898989925794)","(212, 0.05055681494673905)","(556, 0.0)","(541, 0.08300703804338823)","(556, 0.0)"
"(143, 0.02103532542534423)","(558, 0.0)","(558, 0.0)","(64, 0.06367803092130915)","(558, 0.0)","(322, 0.028512298503480492)","(189, 0.04353014622761617)","(558, 0.0)","(603, 0.049955159069370515)","(98, 0.0890232181780862)","(190, 0.05553828541286552)","(501, 0.10286040943390498)","(558, 0.0)","(558, 0.0)","(109, 0.05388850950556917)","(309, 0.05102372273004147)","(507, 0.050460255204853595)","(558, 0.0)","(558, 0.08158599253517132)","(558, 0.0)"
"(111, 0.02085168273046701)","(560, 0.0)","(560, 0.0)","(173, 0.061874644095041016)","(560, 0.0)","(80, 0.027746697668622405)","(583, 0.042963782489791956)","(560, 0.0)","(66, 0.04986208947037424)","(421, 0.08885950373375003)","(217, 0.055198911719877966)","(201, 0.10275608862166137)","(560, 0.0)","(560, 0.0)","(17, 0.05375358883221634)","(422, 0.050860931801544405)","(617, 0.05033935981433413)","(560, 0.0)","(135, 0.08071837567004722)","(560, 0.0)"
"(531, 0.020782123383858885)","(561, 0.0)","(561, 0.0)","(610, 0.06131368789407403)","(561, 0.0)","(229, 0.027212641186543818)","(79, 0.04270189719375163)","(561, 0.0)","(578, 0.04982959869013822)","(304, 0.08881840439546712)","(20, 0.05513375522713162)","(621, 0.10229311383978355)","(561, 0.0)","(561, 0.0)","(443, 0.053261572001216374)","(603, 0.05055112169608384)","(167, 0.0501359728352225)","(561, 0.0)","(601, 0.08001454458957616)","(561, 0.0)"
"(501, 0.02076268209131164)","(562, 0.0)","(562, 0.0)","(458, 0.06131198450840271)","(562, 0.0)","(251, 0.026297130806311915)","(49, 0.04241911323010407)","(562, 0.0)","(309, 0.0486043435045579)","(120, 0.088345032407323)","(582, 0.05495281441622498)","(17, 0.10227702464960715)","(562, 0.0)","(562, 0.0)","(462, 0.05229621197848126)","(481, 0.050154861174168223)","(654, 0.04989907594489051)","(562, 0.0)","(41, 0.07985167883478297)","(562, 0.0)"
"(60, 0.02044254191429874)","(563, 0.0)","(563, 0.0)","(147, 0.06060197633402576)","(563, 0.0)","(574, 0.024104348940979747)","(160, 0.04218145681824308)","(563, 0.0)","(162, 0.04850906616487947)","(488, 0.08792582474928913)","(175, 0.054662286396310364)","(612, 0.10212268968514628)","(563, 0.0)","(563, 0.0)","(469, 0.05009368413251256)","(502, 0.05002477161879798)","(573, 0.04966469524966668)","(563, 0.0)","(78, 0.07943654778695743)","(563, 0.0)"
"(572, 0.0203855129141003)","(565, 0.0)","(565, 0.0)","(428, 0.06057993801359401)","(565, 0.0)","(8, 0.023583932871652058)","(182, 0.04058966326272618)","(565, 0.0)","(613, 0.04844927864025487)","(474, 0.087284701734799)","(23, 0.053627675573758304)","(110, 0.1014945504170674)","(565, 0.0)","(565, 0.0)","(651, 0.04930132712482519)","(433, 0.049957206402143316)","(301, 0.04948093228302438)","(565, 0.0)","(593, 0.07752327818725357)","(565, 0.0)"
"(546, 0.020376776411719963)","(568, 0.0)","(568, 0.0)","(384, 0.06038790072535178)","(568, 0.0)","(144, 0.022732717939646513)","(186, 0.040261285096993185)","(568, 0.0)","(422, 0.048252495750573006)","(418, 0.08465365210783624)","(531, 0.0529039358614624)","(137, 0.10075668356776443)","(568, 0.0)","(568, 0.0)","(563, 0.04869102498476248)","(586, 0.04925164871507618)","(63, 0.04904015879492295)","(568, 0.0)","(639, 0.07702771545671314)","(568, 0.0)"
"(491, 0.020366308343594812)","(569, 0.0)","(569, 0.0)","(410, 0.06002325138874813)","(569, 0.0)","(498, 0.022460809008625737)","(468, 0.039794081136627524)","(569, 0.0)","(572, 0.04799924121022951)","(83, 0.08367711455169281)","(104, 0.05270093966579136)","(530, 0.10055170663438424)","(569, 0.0)","(569, 0.0)","(678, 0.04858528309270398)","(399, 0.04914871519727809)","(508, 0.04903947686922142)","(569, 0.0)","(231, 0.07691500032393721)","(569, 0.0)"
"(158, 0.02035385707891772)","(57, 0.0)","(57, 0.0)","(135, 0.05988539616911332)","(57, 0.0)","(447, 0.021784301819725273)","(422, 0.0397051773556269)","(57, 0.0)","(481, 0.047582633418830386)","(610, 0.08299165885474918)","(624, 0.05256732812563836)","(63, 0.09964383854681673)","(57, 0.0)","(57, 0.0)","(619, 0.04781299529637172)","(47, 0.048881157288816174)","(228, 0.049020012691676884)","(57, 0.0)","(653, 0.07617426168421142)","(57, 0.0)"
"(13, 0.020299392268406408)","(571, 0.0)","(571, 0.0)","(189, 0.05919474069759685)","(571, 0.0)","(320, 0.021581732999938368)","(388, 0.038362462323041316)","(571, 0.0)","(502, 0.04745921755696576)","(270, 0.08294352970109488)","(285, 0.0524025200304186)","(183, 0.09894021949233205)","(571, 0.0)","(571, 0.0)","(501, 0.04766140991084885)","(531, 0.04887115646191407)","(609, 0.04897568191065443)","(571, 0.0)","(287, 0.07495201658191593)","(571, 0.0)"
"(666, 0.02020300553888524)","(572, 0.0)","(572, 0.0)","(541, 0.05858990276206005)","(572, 0.0)","(407, 0.021530491781817745)","(647, 0.0379353868912955)","(572, 0.0)","(531, 0.04734204998008184)","(31, 0.0825485444985849)","(636, 0.052076433005055114)","(146, 0.09874058495001391)","(572, 0.0)","(572, 0.0)","(669, 0.04762833817445438)","(463, 0.04873047029850139)","(175, 0.04881642743087933)","(572, 0.0)","(184, 0.07481078725450165)","(572, 0.0)"
"(312, 0.020162352697624186)","(573, 0.0)","(573, 0.0)","(400, 0.05673393068535594)","(573, 0.0)","(66, 0.021157103342489273)","(528, 0.03786401206335949)","(573, 0.0)","(399, 0.047272454952661094)","(89, 0.0821672117641613)","(617, 0.05120676703378395)","(139, 0.09841548499029923)","(573, 0.0)","(573, 0.0)","(508, 0.04727779574240641)","(651, 0.04867223484878617)","(641, 0.04858084977305993)","(573, 0.0)","(648, 0.07239251918693147)","(573, 0.0)"
"(277, 0.020109941527293573)","(574, 0.0)","(574, 0.0)","(601, 0.05647805347321735)","(574, 0.0)","(59, 0.020914299525362418)","(67, 0.03728033459854897)","(574, 0.0)","(25, 0.0471268527635147)","(47, 0.08117392294498192)","(507, 0.05069396580040928)","(158, 0.09786316262539463)","(574, 0.0)","(574, 0.0)","(640, 0.04645065117539768)","(158, 0.04849627484625031)","(412, 0.04833971109574972)","(574, 0.0)","(660, 0.07162097878063402)","(574, 0.0)"
"(25, 0.02001173100512737)","(575, 0.0)","(575, 0.0)","(581, 0.0561662862421916)","(575, 0.0)","(459, 0.02090365940443836)","(107, 0.03693009589455487)","(575, 0.0)","(312, 0.04702822366246101)","(140, 0.08114572569504201)","(444, 0.050677848990889555)","(655, 0.09729371712516921)","(575, 0.0)","(575, 0.0)","(206, 0.04592462031263423)","(67, 0.048437271674705164)","(137, 0.04827486122113691)","(575, 0.0)","(539, 0.07124378279191464)","(575, 0.0)"
"(401, 0.019946789403276655)","(576, 0.0)","(576, 0.0)","(78, 0.05597150247796559)","(576, 0.0)","(548, 0.020763676914721568)","(572, 0.03659868813780707)","(576, 0.0)","(651, 0.04649185186470793)","(608, 0.08027810577247609)","(300, 0.05056521416816269)","(549, 0.09726070772025906)","(576, 0.0)","(576, 0.0)","(303, 0.045766215130586346)","(491, 0.048414603263037266)","(443, 0.04814101585595396)","(576, 0.0)","(18, 0.07055019703103389)","(576, 0.0)"
"(488, 0.01963747009270855)","(577, 0.0)","(577, 0.0)","(546, 0.05579211420667232)","(577, 0.0)","(664, 0.020545446837023387)","(46, 0.03617815621293892)","(577, 0.0)","(401, 0.04640717025382577)","(272, 0.07915761653443151)","(522, 0.04985101351350045)","(279, 0.09681658815070317)","(577, 0.0)","(577, 0.0)","(60, 0.04575162686080968)","(613, 0.04838322418950203)","(530, 0.048087773522612696)","(577, 0.0)","(388, 0.06882714739101699)","(577, 0.0)"
"(97, 0.019490164340608875)","(578, 0.0)","(578, 0.0)","(593, 0.05567050010213774)","(578, 0.0)","(108, 0.020509777179212544)","(555, 0.035999532848057555)","(578, 0.0)","(54, 0.046266593337122214)","(650, 0.07906782530727753)","(163, 0.049528468987090124)","(140, 0.09585277334841384)","(578, 0.0)","(578, 0.0)","(80, 0.0455129191424029)","(383, 0.04818679080260159)","(52, 0.04806136580036504)","(578, 0.0)","(584, 0.06871871453553564)","(578, 0.0)"
"(165, 0.019419046265123727)","(579, 0.0)","(579, 0.0)","(653, 0.05463201791207706)","(579, 0.0)","(476, 0.02000350026788018)","(312, 0.03585830256776979)","(579, 0.0)","(571, 0.04610017980982734)","(84, 0.07878241012940333)","(556, 0.04853481223953967)","(3, 0.09546799335786722)","(579, 0.0)","(579, 0.0)","(441, 0.04503499091177897)","(572, 0.04793380577517632)","(319, 0.04781735263126136)","(579, 0.0)","(221, 0.06745572340622549)","(579, 0.0)"
"(673, 0.019256374954927793)","(58, 0.0)","(58, 0.0)","(209, 0.05454997043605071)","(58, 0.0)","(603, 0.01996792703568988)","(25, 0.03546559806686821)","(58, 0.0)","(383, 0.04602815119089172)","(509, 0.07856564058552302)","(538, 0.048461174346892906)","(477, 0.0947930733138828)","(58, 0.0)","(58, 0.0)","(31, 0.044058474055466014)","(452, 0.047931440627682786)","(49, 0.047683153801094204)","(58, 0.0)","(4, 0.06677644106075682)","(58, 0.0)"
"(278, 0.019037079796781608)","(580, 0.0)","(580, 0.0)","(595, 0.05360205397183474)","(580, 0.0)","(584, 0.019894702000417527)","(401, 0.03538475515533645)","(580, 0.0)","(555, 0.045868983790552945)","(596, 0.0783947651831706)","(179, 0.048341086563855745)","(319, 0.09468107126164847)","(580, 0.0)","(580, 0.0)","(629, 0.0436715409430072)","(54, 0.047760963087575034)","(399, 0.047482162401258764)","(580, 0.0)","(237, 0.06593946941442992)","(580, 0.0)"
"(305, 0.01891833757480338)","(581, 0.0)","(581, 0.0)","(287, 0.0529569478737798)","(581, 0.0)","(533, 0.019818020227693595)","(90, 0.034315748481923376)","(581, 0.0)","(240, 0.0458494312949281)","(51, 0.07804332405672963)","(501, 0.04817876724462765)","(332, 0.09225063872897792)","(581, 0.0)","(581, 0.0)","(503, 0.04346254674257291)","(97, 0.04761692657376971)","(612, 0.04743390932102424)","(581, 0.0)","(77, 0.06411382146207378)","(581, 0.0)"
"(192, 0.018792001647574625)","(582, 0.0)","(582, 0.0)","(184, 0.05280500305036175)","(582, 0.0)","(250, 0.019705214577534876)","(103, 0.034046909403969663)","(582, 0.0)","(67, 0.04565140904156128)","(104, 0.07759295026058723)","(655, 0.04802835286457114)","(444, 0.09171621074790522)","(582, 0.0)","(582, 0.0)","(29, 0.042690489729440916)","(546, 0.04727216176076768)","(323, 0.047209033308007624)","(582, 0.0)","(564, 0.06264413465322295)","(582, 0.0)"
"(426, 0.018726784511322606)","(583, 0.0)","(583, 0.0)","(44, 0.05174240355108024)","(583, 0.0)","(147, 0.019525155261555228)","(221, 0.03372724064305423)","(583, 0.0)","(3, 0.045367156428574404)","(34, 0.0736601913533475)","(64, 0.04776642754256812)","(389, 0.09155085379566799)","(583, 0.0)","(583, 0.0)","(675, 0.04236742916517144)","(555, 0.047028278369742965)","(143, 0.047112019692709624)","(583, 0.0)","(8, 0.06219147700522451)","(583, 0.0)"
"(604, 0.018712923146916086)","(584, 0.0)","(584, 0.0)","(559, 0.0514917313429339)","(584, 0.0)","(620, 0.01946318028559287)","(201, 0.03363836877989705)","(584, 0.0)","(652, 0.04520725268056942)","(212, 0.0710211013937786)","(383, 0.04772009181462939)","(212, 0.09103461300442335)","(584, 0.0)","(584, 0.0)","(78, 0.04169283407825151)","(423, 0.04697903799483201)","(327, 0.047069301683471274)","(584, 0.0)","(439, 0.061687536683628565)","(584, 0.0)"
"(285, 0.01868641849241008)","(585, 0.0)","(585, 0.0)","(648, 0.05113994689338452)","(585, 0.0)","(531, 0.019411831136729833)","(662, 0.033321760008759034)","(585, 0.0)","(546, 0.04515450088352555)","(479, 0.07082384121280805)","(508, 0.047687575579949)","(294, 0.0908407326695501)","(585, 0.0)","(585, 0.0)","(637, 0.04152562836625161)","(312, 0.04696411010132739)","(458, 0.04704344685856126)","(585, 0.0)","(643, 0.05964804353299932)","(585, 0.0)"
"(384, 0.018560984278393096)","(586, 0.0)","(586, 0.0)","(539, 0.050810282909432486)","(586, 0.0)","(501, 0.019240010080639577)","(503, 0.03332117600222113)","(586, 0.0)","(421, 0.0451100961189433)","(587, 0.07061308094482002)","(629, 0.046921899933771535)","(590, 0.09080129705006204)","(586, 0.0)","(586, 0.0)","(575, 0.041178279189367686)","(571, 0.04665015022159795)","(633, 0.04700843996316275)","(586, 0.0)","(75, 0.0593590633743438)","(586, 0.0)"
"(591, 0.018369568233169035)","(587, 0.0)","(587, 0.0)","(660, 0.05076114549615247)","(587, 0.0)","(129, 0.019214766432524788)","(618, 0.03316426314443771)","(587, 0.0)","(423, 0.0448745077282101)","(158, 0.0694759066217328)","(303, 0.04631994917608719)","(479, 0.09053729513581327)","(587, 0.0)","(587, 0.0)","(93, 0.04113300649643372)","(25, 0.04646417452269752)","(647, 0.046761619104237255)","(587, 0.0)","(519, 0.05754937952053775)","(587, 0.0)"
"(595, 0.0182253970360582)","(588, 0.0)","(588, 0.0)","(18, 0.05073928728915822)","(588, 0.0)","(572, 0.018665971039776262)","(638, 0.03271019004045403)","(588, 0.0)","(635, 0.04483651954012486)","(564, 0.06709858767170745)","(173, 0.045990549858048124)","(125, 0.09004020076059971)","(588, 0.0)","(588, 0.0)","(146, 0.04071730508776635)","(401, 0.04634390158676275)","(636, 0.04650817314520575)","(588, 0.0)","(175, 0.057444584487378755)","(588, 0.0)"
"(655, 0.017971923424312735)","(589, 0.0)","(589, 0.0)","(584, 0.05003914950503895)","(589, 0.0)","(165, 0.018593562757843116)","(77, 0.03211326874170373)","(589, 0.0)","(97, 0.0443571036459779)","(470, 0.06683735541541873)","(26, 0.04541367741784888)","(301, 0.08984264810122958)","(589, 0.0)","(589, 0.0)","(212, 0.04014749603213258)","(182, 0.04633197234957834)","(6, 0.04637287753341595)","(589, 0.0)","(30, 0.057011317908702806)","(589, 0.0)"
"(233, 0.01740214843025414)","(59, 0.0)","(59, 0.0)","(221, 0.0482367658425956)","(59, 0.0)","(522, 0.018556660689793187)","(523, 0.03180234124963316)","(59, 0.0)","(182, 0.04425642453092923)","(126, 0.06441681515543278)","(77, 0.04504575381404062)","(94, 0.0896845774112389)","(59, 0.0)","(59, 0.0)","(330, 0.039524919589790035)","(46, 0.04624781552789172)","(531, 0.04610327794501063)","(59, 0.0)","(268, 0.05690664427171724)","(59, 0.0)"
"(104, 0.01712159105131187)","(591, 0.0)","(591, 0.0)","(4, 0.04650066323053257)","(591, 0.0)","(277, 0.018479794712485245)","(209, 0.03163948914155444)","(591, 0.0)","(551, 0.043987187015132496)","(191, 0.06278284891209111)","(86, 0.04456795500203483)","(300, 0.08920728007673552)","(591, 0.0)","(591, 0.0)","(652, 0.03944481422437374)","(551, 0.04509891752892651)","(300, 0.04547116029530205)","(591, 0.0)","(179, 0.05581459355332568)","(591, 0.0)"
"(109, 0.017110841285893578)","(592, 0.0)","(592, 0.0)","(237, 0.046157340316027966)","(592, 0.0)","(161, 0.018358741859567998)","(57, 0.031450943628607696)","(592, 0.0)","(46, 0.04387596181100581)","(279, 0.06270938655674625)","(651, 0.04456105727636716)","(244, 0.08899945171969845)","(592, 0.0)","(592, 0.0)","(603, 0.039251987373897644)","(487, 0.044779413565251454)","(501, 0.04538479643500922)","(592, 0.0)","(88, 0.055683907833993546)","(592, 0.0)"
