Topic-1,Topic-2,Topic-3,Topic-4,Topic-5,Topic-6,Topic-7,Topic-8,Topic-9,Topic-10,Topic-11
"(609, 0.060272915262941984)","(651, 0.06377964670352697)","(471, 0.05623343569194654)","(31, 0.045315651534009765)","(2, 0.0)","(252, 0.02314601551765489)","(132, 0.0)","(67, 0.03263827923186151)","(202, 0.03667555804646566)","(120, 0.0)","(155, 0.0)"
"(233, 0.05944435357513531)","(530, 0.06340883166134773)","(668, 0.056203600278833254)","(485, 0.045134142475879914)","(200, 0.0)","(384, 0.022941940441116485)","(139, 0.0)","(144, 0.031831841500783824)","(114, 0.03601212725157008)","(121, 0.0)","(157, 0.0)"
"(424, 0.058855905428390594)","(202, 0.06335202082705893)","(268, 0.056191305914132676)","(401, 0.04476139943901323)","(201, 0.0)","(204, 0.022850810749588432)","(140, 0.0)","(290, 0.0316470075232245)","(581, 0.035427658693593427)","(124, 0.0)","(159, 0.0)"
"(84, 0.05865665186670067)","(92, 0.06270851350529555)","(17, 0.056030838376237124)","(625, 0.04430695721809366)","(206, 0.0)","(647, 0.022650117142736854)","(141, 0.0)","(35, 0.03116071064977134)","(270, 0.03504738658657272)","(127, 0.0)","(161, 0.0)"
"(459, 0.05851034430821517)","(398, 0.062445034836069176)","(14, 0.0552521968341878)","(113, 0.04430695721809363)","(207, 0.0)","(95, 0.022283631825987305)","(143, 0.0)","(524, 0.03048343852375242)","(6, 0.03468752786157633)","(128, 0.0)","(166, 0.0)"
"(295, 0.05807254931948935)","(174, 0.062179874254654904)","(18, 0.054853585020901326)","(164, 0.04427435901057942)","(216, 0.0)","(326, 0.022203596420636993)","(144, 0.0)","(549, 0.029916955944704105)","(569, 0.034322189816342)","(129, 0.0)","(167, 0.0)"
"(420, 0.058072549319489276)","(644, 0.06185312541259822)","(201, 0.05481393289632257)","(508, 0.044057338571391616)","(219, 0.0)","(303, 0.022128962271917102)","(145, 0.0)","(150, 0.028705020634254237)","(34, 0.034319123546549)","(13, 0.0)","(169, 0.0)"
"(639, 0.057918318849564866)","(562, 0.06165371448093248)","(30, 0.05450923740577119)","(27, 0.04367622101827154)","(22, 0.0)","(93, 0.022115868648920914)","(147, 0.0)","(501, 0.028534691255065976)","(309, 0.034238616506309244)","(130, 0.0)","(173, 0.0)"
"(88, 0.0573707404668497)","(317, 0.05994188080374429)","(519, 0.05433410905272383)","(274, 0.04337685021507965)","(220, 0.0)","(134, 0.021943668046358975)","(148, 0.0)","(53, 0.027028318761418466)","(680, 0.033736382441738155)","(131, 0.0)","(179, 0.0)"
"(569, 0.05723978544780772)","(426, 0.059751843929215225)","(197, 0.0543150411072157)","(549, 0.04273783716072562)","(221, 0.0)","(73, 0.02185409205896954)","(149, 0.0)","(92, 0.02692958989318677)","(386, 0.0326447601432122)","(133, 0.0)","(184, 0.0)"
"(26, 0.056603230278910024)","(53, 0.059003693109097304)","(421, 0.05325598396327834)","(388, 0.041313281086289746)","(230, 0.0)","(534, 0.021845712826807716)","(153, 0.0)","(32, 0.02613784639444989)","(134, 0.03231970493138666)","(134, 0.0)","(186, 0.0)"
"(143, 0.05544787522139332)","(271, 0.058944509311507305)","(180, 0.05248286458562926)","(329, 0.04120090576682275)","(231, 0.0)","(301, 0.021837779028533788)","(154, 0.0)","(538, 0.025839673439306904)","(73, 0.0321877730467424)","(136, 0.0)","(187, 0.0)"
"(541, 0.054751324566134865)","(120, 0.05836314242294451)","(202, 0.05179819861491472)","(310, 0.04093131361838206)","(234, 0.0)","(444, 0.021749820358864535)","(155, 0.0)","(39, 0.025425509424762415)","(325, 0.031067642080634113)","(139, 0.0)","(188, 0.0)"
"(220, 0.05396684233979611)","(25, 0.058218300259076726)","(501, 0.05152196796056423)","(666, 0.040047513640189436)","(237, 0.0)","(90, 0.02136852752748042)","(157, 0.0)","(109, 0.024016630437333413)","(1, 0.03059445945808967)","(140, 0.0)","(19, 0.0)"
"(202, 0.053952606009930085)","(328, 0.057662524882027076)","(595, 0.051258695963050355)","(443, 0.03969821419462196)","(240, 0.0)","(277, 0.02133813894780992)","(158, 0.0)","(191, 0.022166375751176408)","(137, 0.030320930369900714)","(141, 0.0)","(190, 0.0)"
"(634, 0.0533205391771592)","(168, 0.05731770001009703)","(424, 0.05070326422863979)","(306, 0.03928400565512794)","(242, 0.0)","(302, 0.021028689596424528)","(16, 0.0)","(100, 0.0)","(628, 0.030315364524366267)","(143, 0.0)","(191, 0.0)"
"(298, 0.052460839032946766)","(417, 0.05701744701814406)","(198, 0.05033132639803804)","(552, 0.03927391995167295)","(243, 0.0)","(32, 0.02078079854168389)","(160, 0.0)","(104, 0.0)","(196, 0.029966169548974134)","(145, 0.0)","(193, 0.0)"
"(65, 0.05196006557773472)","(400, 0.05671458318744578)","(273, 0.04996244459353124)","(322, 0.03920114534256606)","(244, 0.0)","(137, 0.020586587417997175)","(161, 0.0)","(105, 0.0)","(191, 0.029450974704361196)","(146, 0.0)","(194, 0.0)"
"(649, 0.05151997483773371)","(637, 0.05661620569241363)","(426, 0.04948131925945828)","(308, 0.038982203446078154)","(245, 0.0)","(220, 0.020555927510068475)","(164, 0.0)","(11, 0.0)","(93, 0.0275047283662105)","(147, 0.0)","(196, 0.0)"
"(529, 0.05114326452517025)","(661, 0.056588599158620814)","(481, 0.04898838018179303)","(509, 0.03856949325707393)","(247, 0.0)","(273, 0.01996999261709029)","(165, 0.0)","(110, 0.0)","(504, 0.026720219802222684)","(150, 0.0)","(197, 0.0)"
"(35, 0.05110051733083375)","(671, 0.05552045822670951)","(92, 0.048623812161331034)","(305, 0.03849429681607882)","(248, 0.0)","(312, 0.019700409693541678)","(166, 0.0)","(111, 0.0)","(182, 0.025873892087834697)","(158, 0.0)","(2, 0.0)"
"(427, 0.05039562036658069)","(665, 0.05407898650824018)","(387, 0.04856644864881402)","(204, 0.038181596766300355)","(250, 0.0)","(305, 0.019052683533263604)","(17, 0.0)","(117, 0.0)","(208, 0.02565097440151931)","(159, 0.0)","(200, 0.0)"
"(276, 0.05024310682383413)","(420, 0.053699999968402544)","(502, 0.047995012634344636)","(384, 0.038046397724605614)","(251, 0.0)","(504, 0.01814186220791607)","(173, 0.0)","(120, 0.0)","(220, 0.02556468441078093)","(16, 0.0)","(206, 0.0)"
"(124, 0.049709933717346604)","(560, 0.053087712060734676)","(625, 0.04744982930399206)","(252, 0.03754538710951918)","(252, 0.0)","(460, 0.017513011892645466)","(174, 0.0)","(124, 0.0)","(267, 0.024277047258215445)","(163, 0.0)","(207, 0.0)"
"(428, 0.049352177030692605)","(8, 0.05303653058863603)","(113, 0.04744982930399203)","(489, 0.0367563788124185)","(253, 0.0)","(208, 0.017415891281419613)","(176, 0.0)","(127, 0.0)","(589, 0.02205283407963091)","(165, 0.0)","(215, 0.0)"
"(153, 0.04921262923473874)","(499, 0.05283670492378803)","(508, 0.04718250419478171)","(134, 0.03666584499347441)","(261, 0.0)","(320, 0.01711805861003334)","(177, 0.0)","(128, 0.0)","(660, 0.02200822492007836)","(166, 0.0)","(216, 0.0)"
"(1, 0.04917569541690381)","(550, 0.05258922485168047)","(410, 0.04628553592861794)","(73, 0.036516171781966665)","(263, 0.0)","(580, 0.017015860331807426)","(179, 0.0)","(13, 0.0)","(76, 0.021288906576939583)","(169, 0.0)","(217, 0.0)"
"(469, 0.04888122728832998)","(296, 0.05237591641069915)","(392, 0.04612093613344798)","(457, 0.03527865369959103)","(267, 0.0)","(159, 0.01636330137766698)","(180, 0.0)","(130, 0.0)","(501, 0.02110366808477831)","(173, 0.0)","(218, 0.0)"
"(415, 0.048035881762895555)","(492, 0.05151363234922049)","(564, 0.04608703958024444)","(386, 0.03525601120587546)","(270, 0.0)","(187, 0.01632507125466762)","(184, 0.0)","(131, 0.0)","(524, 0.020796336584760277)","(175, 0.0)","(219, 0.0)"
"(590, 0.04783994814682186)","(35, 0.051258166098826934)","(487, 0.0434944458123029)","(676, 0.03506595046168895)","(271, 0.0)","(64, 0.01632283718487194)","(186, 0.0)","(132, 0.0)","(92, 0.01991656828121865)","(176, 0.0)","(22, 0.0)"
"(93, 0.047534928657869416)","(28, 0.05117400846111684)","(6, 0.0421434794355996)","(579, 0.0343486073590831)","(272, 0.0)","(52, 0.016142662498745994)","(188, 0.0)","(139, 0.0)","(14, 0.01859957788987757)","(177, 0.0)","(220, 0.0)"
"(148, 0.04728196477951788)","(105, 0.05103442535372113)","(146, 0.04204766783757255)","(275, 0.03398673865050735)","(274, 0.0)","(92, 0.016014417673210525)","(19, 0.0)","(140, 0.0)","(313, 0.01784619128947151)","(179, 0.0)","(228, 0.0)"
"(417, 0.04624509086565435)","(40, 0.05050794091232735)","(309, 0.04159807629979234)","(554, 0.03169195557615841)","(275, 0.0)","(669, 0.015564769605836987)","(190, 0.0)","(141, 0.0)","(663, 0.016729096891364845)","(18, 0.0)","(229, 0.0)"
"(123, 0.04577885119062986)","(277, 0.05041160269241377)","(178, 0.04147032692200045)","(504, 0.030313378155517347)","(276, 0.0)","(589, 0.014972911155971087)","(192, 0.0)","(143, 0.0)","(109, 0.016384566649769873)","(182, 0.0)","(233, 0.0)"
"(160, 0.04569123746254844)","(110, 0.05041032107870635)","(80, 0.0414491847707808)","(147, 0.029998494755501832)","(277, 0.0)","(660, 0.0149426234849937)","(193, 0.0)","(145, 0.0)","(668, 0.01588154647883541)","(184, 0.0)","(234, 0.0)"
"(669, 0.04545891357766637)","(306, 0.048946316805101316)","(624, 0.04105830323515982)","(456, 0.026857185763392615)","(278, 0.0)","(76, 0.014454237747097757)","(194, 0.0)","(147, 0.0)","(100, 0.0)","(187, 0.0)","(237, 0.0)"
"(562, 0.045410356064790436)","(243, 0.04880754175515272)","(204, 0.04088997220452228)","(550, 0.025065148191289584)","(279, 0.0)","(80, 0.013690372751649898)","(195, 0.0)","(154, 0.0)","(104, 0.0)","(188, 0.0)","(240, 0.0)"
"(69, 0.045005698203406753)","(126, 0.04845131335645361)","(600, 0.03976304370719302)","(660, 0.024967745380542132)","(28, 0.0)","(129, 0.013662149152395223)","(196, 0.0)","(157, 0.0)","(105, 0.0)","(189, 0.0)","(244, 0.0)"
"(285, 0.04467725725182827)","(17, 0.04831182328539809)","(134, 0.03926670201393371)","(646, 0.02452947549824088)","(285, 0.0)","(14, 0.012628301028253238)","(197, 0.0)","(158, 0.0)","(111, 0.0)","(19, 0.0)","(245, 0.0)"
"(25, 0.043600289796923014)","(109, 0.04775676188329567)","(73, 0.039106411874792246)","(76, 0.024151697866294057)","(287, 0.0)","(233, 0.012588255930053438)","(198, 0.0)","(159, 0.0)","(117, 0.0)","(191, 0.0)","(256, 0.0)"
"(657, 0.04353397753071777)","(519, 0.04684884165570518)","(524, 0.039056015831326125)","(74, 0.0214347952544385)","(29, 0.0)","(35, 0.011660477012612804)","(2, 0.0)","(16, 0.0)","(124, 0.0)","(192, 0.0)","(26, 0.0)"
"(599, 0.04327343125670494)","(197, 0.046832400580745386)","(663, 0.03883246717591093)","(191, 0.01814248579090399)","(291, 0.0)","(509, 0.009309297442703552)","(20, 0.0)","(160, 0.0)","(126, 0.0)","(193, 0.0)","(267, 0.0)"
"(448, 0.04318587114757209)","(406, 0.04674495849789088)","(300, 0.03860480561389382)","(102, 0.0)","(293, 0.0)","(100, 0.0)","(200, 0.0)","(161, 0.0)","(127, 0.0)","(197, 0.0)","(271, 0.0)"
"(83, 0.04311735318068821)","(460, 0.045718068090374465)","(100, 0.03756884458701996)","(110, 0.0)","(296, 0.0)","(109, 0.0)","(201, 0.0)","(164, 0.0)","(128, 0.0)","(199, 0.0)","(272, 0.0)"
"(458, 0.04305208233067291)","(127, 0.045697442096001725)","(137, 0.03683829849770358)","(117, 0.0)","(297, 0.0)","(111, 0.0)","(202, 0.0)","(165, 0.0)","(13, 0.0)","(201, 0.0)","(273, 0.0)"
"(240, 0.04261938710430852)","(647, 0.0456147110606882)","(308, 0.03568467235518066)","(120, 0.0)","(298, 0.0)","(117, 0.0)","(203, 0.0)","(166, 0.0)","(130, 0.0)","(206, 0.0)","(274, 0.0)"
"(195, 0.04261938710430848)","(649, 0.044668016369226904)","(486, 0.03546994599516662)","(124, 0.0)","(299, 0.0)","(127, 0.0)","(206, 0.0)","(168, 0.0)","(131, 0.0)","(207, 0.0)","(275, 0.0)"
"(661, 0.04167970184173414)","(303, 0.04456516554617697)","(154, 0.033456876429696136)","(13, 0.0)","(304, 0.0)","(128, 0.0)","(207, 0.0)","(17, 0.0)","(132, 0.0)","(208, 0.0)","(276, 0.0)"
"(392, 0.04134687876003557)","(595, 0.04419710882386311)","(504, 0.03246362895169145)","(130, 0.0)","(305, 0.0)","(131, 0.0)","(21, 0.0)","(173, 0.0)","(139, 0.0)","(21, 0.0)","(279, 0.0)"
"(468, 0.04117650792042817)","(534, 0.0439947339887884)","(104, 0.032435067416783724)","(131, 0.0)","(306, 0.0)","(132, 0.0)","(212, 0.0)","(176, 0.0)","(140, 0.0)","(216, 0.0)","(28, 0.0)"
"(498, 0.04083121961822347)","(301, 0.04397875623849252)","(21, 0.03195673659578731)","(132, 0.0)","(308, 0.0)","(139, 0.0)","(216, 0.0)","(177, 0.0)","(141, 0.0)","(219, 0.0)","(285, 0.0)"
"(287, 0.040096927106086803)","(444, 0.04380161767108639)","(165, 0.029915916551701727)","(141, 0.0)","(31, 0.0)","(140, 0.0)","(217, 0.0)","(179, 0.0)","(143, 0.0)","(226, 0.0)","(287, 0.0)"
"(8, 0.03906346533615514)","(128, 0.04368977793164795)","(585, 0.02943392549060318)","(145, 0.0)","(310, 0.0)","(141, 0.0)","(219, 0.0)","(180, 0.0)","(144, 0.0)","(229, 0.0)","(29, 0.0)"
"(190, 0.0389822111361589)","(84, 0.043064884774341276)","(219, 0.02897324465683021)","(150, 0.0)","(312, 0.0)","(143, 0.0)","(22, 0.0)","(184, 0.0)","(147, 0.0)","(231, 0.0)","(291, 0.0)"
"(496, 0.03811993868984471)","(547, 0.04247826151674705)","(274, 0.0285281898663312)","(154, 0.0)","(313, 0.0)","(144, 0.0)","(220, 0.0)","(186, 0.0)","(148, 0.0)","(233, 0.0)","(292, 0.0)"
"(492, 0.03794179161569033)","(293, 0.04242081962229263)","(329, 0.027097109553891132)","(157, 0.0)","(317, 0.0)","(145, 0.0)","(23, 0.0)","(187, 0.0)","(149, 0.0)","(234, 0.0)","(293, 0.0)"
"(273, 0.03770331482869223)","(302, 0.04234934388555222)","(589, 0.026793006501945073)","(158, 0.0)","(318, 0.0)","(146, 0.0)","(230, 0.0)","(188, 0.0)","(153, 0.0)","(237, 0.0)","(294, 0.0)"
"(278, 0.03761560024416168)","(502, 0.04138304255597729)","(660, 0.026738808773996738)","(159, 0.0)","(32, 0.0)","(147, 0.0)","(234, 0.0)","(192, 0.0)","(154, 0.0)","(242, 0.0)","(295, 0.0)"
"(290, 0.03760639650380307)","(305, 0.03836989666869062)","(383, 0.026539301450682694)","(16, 0.0)","(320, 0.0)","(148, 0.0)","(240, 0.0)","(193, 0.0)","(157, 0.0)","(243, 0.0)","(297, 0.0)"
"(105, 0.037588837045514446)","(22, 0.03778813096459705)","(76, 0.025864875701490337)","(160, 0.0)","(321, 0.0)","(149, 0.0)","(242, 0.0)","(197, 0.0)","(158, 0.0)","(245, 0.0)","(298, 0.0)"
"(277, 0.03743441678071762)","(410, 0.03726182136851872)","(509, 0.025366475925065406)","(161, 0.0)","(322, 0.0)","(153, 0.0)","(243, 0.0)","(201, 0.0)","(16, 0.0)","(250, 0.0)","(299, 0.0)"
"(626, 0.037261285281390485)","(67, 0.03670551603248433)","(206, 0.021500825452152848)","(165, 0.0)","(323, 0.0)","(154, 0.0)","(244, 0.0)","(202, 0.0)","(161, 0.0)","(251, 0.0)","(3, 0.0)"
"(654, 0.03680407428163307)","(146, 0.03625502592860445)","(445, 0.020946406887746013)","(168, 0.0)","(324, 0.0)","(157, 0.0)","(245, 0.0)","(203, 0.0)","(164, 0.0)","(252, 0.0)","(30, 0.0)"
"(227, 0.03676613362950755)","(178, 0.03575722162838576)","(22, 0.020182873889322033)","(169, 0.0)","(325, 0.0)","(16, 0.0)","(247, 0.0)","(206, 0.0)","(165, 0.0)","(253, 0.0)","(301, 0.0)"
"(194, 0.03616374915776526)","(80, 0.03573899209794863)","(147, 0.01972948127505079)","(173, 0.0)","(327, 0.0)","(161, 0.0)","(248, 0.0)","(207, 0.0)","(166, 0.0)","(256, 0.0)","(302, 0.0)"
"(243, 0.03594865075702883)","(94, 0.034923833977337816)","(35, 0.018804991719513952)","(175, 0.0)","(328, 0.0)","(164, 0.0)","(25, 0.0)","(21, 0.0)","(17, 0.0)","(261, 0.0)","(303, 0.0)"
"(581, 0.03552724154301322)","(320, 0.03447378627209373)","(191, 0.016607800583988357)","(176, 0.0)","(329, 0.0)","(165, 0.0)","(250, 0.0)","(212, 0.0)","(174, 0.0)","(268, 0.0)","(304, 0.0)"
"(109, 0.03517471055685645)","(524, 0.033675514944194816)","(45, 0.015424133675884228)","(177, 0.0)","(330, 0.0)","(166, 0.0)","(251, 0.0)","(216, 0.0)","(176, 0.0)","(27, 0.0)","(305, 0.0)"
"(270, 0.035145900537245936)","(664, 0.033646416450590216)","(267, 0.01085944607082259)","(179, 0.0)","(332, 0.0)","(17, 0.0)","(252, 0.0)","(217, 0.0)","(177, 0.0)","(271, 0.0)","(306, 0.0)"
"(519, 0.034505992035021714)","(549, 0.03364507357359334)","(117, 0.0)","(18, 0.0)","(35, 0.0)","(173, 0.0)","(253, 0.0)","(219, 0.0)","(179, 0.0)","(272, 0.0)","(307, 0.0)"
"(197, 0.03449388254455065)","(248, 0.0330536771401423)","(126, 0.0)","(180, 0.0)","(37, 0.0)","(174, 0.0)","(26, 0.0)","(222, 0.0)","(184, 0.0)","(274, 0.0)","(308, 0.0)"
"(304, 0.034455732300029615)","(159, 0.03295379267301444)","(13, 0.0)","(184, 0.0)","(383, 0.0)","(175, 0.0)","(261, 0.0)","(237, 0.0)","(186, 0.0)","(275, 0.0)","(31, 0.0)"
"(398, 0.03343339792342057)","(187, 0.03287680163568598)","(130, 0.0)","(19, 0.0)","(388, 0.0)","(176, 0.0)","(263, 0.0)","(243, 0.0)","(188, 0.0)","(277, 0.0)","(310, 0.0)"
"(174, 0.03329142956268057)","(160, 0.03261029594657509)","(131, 0.0)","(192, 0.0)","(392, 0.0)","(177, 0.0)","(267, 0.0)","(245, 0.0)","(19, 0.0)","(28, 0.0)","(312, 0.0)"
"(644, 0.033116486525397046)","(52, 0.03250945154014915)","(132, 0.0)","(193, 0.0)","(393, 0.0)","(179, 0.0)","(270, 0.0)","(25, 0.0)","(190, 0.0)","(287, 0.0)","(313, 0.0)"
"(164, 0.03310644680346971)","(100, 0.032393221899289816)","(139, 0.0)","(201, 0.0)","(394, 0.0)","(18, 0.0)","(271, 0.0)","(250, 0.0)","(192, 0.0)","(29, 0.0)","(317, 0.0)"
"(595, 0.032552887780129096)","(39, 0.0285939230188843)","(141, 0.0)","(203, 0.0)","(395, 0.0)","(180, 0.0)","(272, 0.0)","(251, 0.0)","(193, 0.0)","(291, 0.0)","(318, 0.0)"
"(509, 0.032391497415943014)","(104, 0.027966692819541995)","(145, 0.0)","(206, 0.0)","(397, 0.0)","(184, 0.0)","(274, 0.0)","(252, 0.0)","(194, 0.0)","(293, 0.0)","(32, 0.0)"
"(217, 0.031041083304294465)","(233, 0.02535128862198898)","(148, 0.0)","(207, 0.0)","(398, 0.0)","(188, 0.0)","(275, 0.0)","(253, 0.0)","(195, 0.0)","(296, 0.0)","(320, 0.0)"
"(579, 0.03024737545159284)","(628, 0.025253970456163673)","(150, 0.0)","(21, 0.0)","(399, 0.0)","(19, 0.0)","(276, 0.0)","(26, 0.0)","(197, 0.0)","(297, 0.0)","(321, 0.0)"
"(488, 0.030136457631471072)","(274, 0.024598041139769877)","(157, 0.0)","(212, 0.0)","(400, 0.0)","(190, 0.0)","(277, 0.0)","(261, 0.0)","(198, 0.0)","(3, 0.0)","(322, 0.0)"
"(201, 0.02979376814306682)","(680, 0.024297360588934704)","(158, 0.0)","(216, 0.0)","(410, 0.0)","(191, 0.0)","(278, 0.0)","(267, 0.0)","(2, 0.0)","(30, 0.0)","(323, 0.0)"
"(600, 0.029355337631629206)","(614, 0.024274165045626583)","(16, 0.0)","(217, 0.0)","(414, 0.0)","(192, 0.0)","(285, 0.0)","(271, 0.0)","(201, 0.0)","(301, 0.0)","(324, 0.0)"
"(132, 0.029141542466015316)","(329, 0.02336411173293918)","(160, 0.0)","(219, 0.0)","(416, 0.0)","(193, 0.0)","(29, 0.0)","(272, 0.0)","(203, 0.0)","(302, 0.0)","(325, 0.0)"
"(300, 0.02902402528758225)","(616, 0.02255847621847001)","(161, 0.0)","(221, 0.0)","(418, 0.0)","(194, 0.0)","(290, 0.0)","(274, 0.0)","(206, 0.0)","(303, 0.0)","(327, 0.0)"
"(212, 0.028165341719064547)","(386, 0.022033600544636274)","(164, 0.0)","(222, 0.0)","(42, 0.0)","(197, 0.0)","(291, 0.0)","(277, 0.0)","(207, 0.0)","(305, 0.0)","(328, 0.0)"
"(324, 0.026959012737230368)","(509, 0.02187189658016618)","(166, 0.0)","(229, 0.0)","(421, 0.0)","(198, 0.0)","(292, 0.0)","(28, 0.0)","(21, 0.0)","(306, 0.0)","(329, 0.0)"
"(146, 0.026703235164611247)","(157, 0.020362880794324145)","(173, 0.0)","(231, 0.0)","(422, 0.0)","(2, 0.0)","(295, 0.0)","(29, 0.0)","(212, 0.0)","(307, 0.0)","(330, 0.0)"
"(80, 0.026323156199558696)","(622, 0.01863107523992)","(174, 0.0)","(233, 0.0)","(423, 0.0)","(202, 0.0)","(296, 0.0)","(291, 0.0)","(216, 0.0)","(308, 0.0)","(332, 0.0)"
"(126, 0.02594108632673838)","(267, 0.01748463019964147)","(175, 0.0)","(234, 0.0)","(425, 0.0)","(203, 0.0)","(297, 0.0)","(293, 0.0)","(217, 0.0)","(31, 0.0)","(34, 0.0)"
"(149, 0.025259115349614846)","(147, 0.017011475117906967)","(176, 0.0)","(237, 0.0)","(426, 0.0)","(206, 0.0)","(298, 0.0)","(295, 0.0)","(219, 0.0)","(310, 0.0)","(35, 0.0)"
"(524, 0.024803325106291796)","(668, 0.013229994488515353)","(177, 0.0)","(245, 0.0)","(429, 0.0)","(207, 0.0)","(299, 0.0)","(296, 0.0)","(22, 0.0)","(312, 0.0)","(36, 0.0)"
"(100, 0.023858866459496895)","(191, 0.011724712937840132)","(179, 0.0)","(248, 0.0)","(43, 0.0)","(21, 0.0)","(30, 0.0)","(297, 0.0)","(234, 0.0)","(313, 0.0)","(391, 0.0)"
"(68, 0.02319905590126874)","(117, 0.0)","(181, 0.0)","(251, 0.0)","(433, 0.0)","(212, 0.0)","(300, 0.0)","(30, 0.0)","(240, 0.0)","(317, 0.0)","(392, 0.0)"
"(165, 0.022085628992631324)","(124, 0.0)","(184, 0.0)","(253, 0.0)","(438, 0.0)","(216, 0.0)","(304, 0.0)","(301, 0.0)","(242, 0.0)","(318, 0.0)","(393, 0.0)"
"(18, 0.021927814966512756)","(13, 0.0)","(186, 0.0)","(256, 0.0)","(439, 0.0)","(217, 0.0)","(307, 0.0)","(302, 0.0)","(243, 0.0)","(319, 0.0)","(397, 0.0)"
"(585, 0.021729795811495454)","(130, 0.0)","(188, 0.0)","(26, 0.0)","(44, 0.0)","(22, 0.0)","(308, 0.0)","(303, 0.0)","(244, 0.0)","(320, 0.0)","(398, 0.0)"
"(501, 0.021162987934821686)","(131, 0.0)","(19, 0.0)","(261, 0.0)","(440, 0.0)","(227, 0.0)","(313, 0.0)","(305, 0.0)","(245, 0.0)","(322, 0.0)","(400, 0.0)"
"(663, 0.021107143062525313)","(132, 0.0)","(190, 0.0)","(267, 0.0)","(441, 0.0)","(231, 0.0)","(317, 0.0)","(306, 0.0)","(247, 0.0)","(323, 0.0)","(402, 0.0)"
"(104, 0.020598555814228897)","(139, 0.0)","(192, 0.0)","(272, 0.0)","(444, 0.0)","(240, 0.0)","(318, 0.0)","(307, 0.0)","(25, 0.0)","(324, 0.0)","(406, 0.0)"
"(22, 0.020231962759542792)","(141, 0.0)","(193, 0.0)","(29, 0.0)","(445, 0.0)","(242, 0.0)","(324, 0.0)","(308, 0.0)","(250, 0.0)","(325, 0.0)","(41, 0.0)"
"(92, 0.0199725513377695)","(145, 0.0)","(194, 0.0)","(290, 0.0)","(447, 0.0)","(243, 0.0)","(325, 0.0)","(31, 0.0)","(251, 0.0)","(327, 0.0)","(410, 0.0)"
"(67, 0.019652325068280675)","(150, 0.0)","(195, 0.0)","(291, 0.0)","(448, 0.0)","(244, 0.0)","(329, 0.0)","(310, 0.0)","(252, 0.0)","(328, 0.0)","(414, 0.0)"
"(144, 0.019166748720156467)","(154, 0.0)","(2, 0.0)","(296, 0.0)","(45, 0.0)","(245, 0.0)","(332, 0.0)","(312, 0.0)","(253, 0.0)","(329, 0.0)","(415, 0.0)"
"(157, 0.01899566179584294)","(158, 0.0)","(203, 0.0)","(297, 0.0)","(452, 0.0)","(247, 0.0)","(35, 0.0)","(313, 0.0)","(26, 0.0)","(33, 0.0)","(416, 0.0)"
"(274, 0.018117412974343466)","(16, 0.0)","(207, 0.0)","(3, 0.0)","(458, 0.0)","(248, 0.0)","(37, 0.0)","(317, 0.0)","(261, 0.0)","(330, 0.0)","(417, 0.0)"
"(549, 0.018013748185131403)","(161, 0.0)","(212, 0.0)","(312, 0.0)","(459, 0.0)","(25, 0.0)","(383, 0.0)","(318, 0.0)","(272, 0.0)","(332, 0.0)","(418, 0.0)"
"(329, 0.017208576025998255)","(164, 0.0)","(216, 0.0)","(313, 0.0)","(46, 0.0)","(250, 0.0)","(386, 0.0)","(320, 0.0)","(274, 0.0)","(34, 0.0)","(42, 0.0)"
"(325, 0.01622182210687363)","(165, 0.0)","(217, 0.0)","(318, 0.0)","(460, 0.0)","(251, 0.0)","(388, 0.0)","(323, 0.0)","(275, 0.0)","(37, 0.0)","(420, 0.0)"
"(39, 0.015309335786130737)","(166, 0.0)","(227, 0.0)","(320, 0.0)","(463, 0.0)","(253, 0.0)","(39, 0.0)","(324, 0.0)","(277, 0.0)","(383, 0.0)","(421, 0.0)"
"(147, 0.01252961234850476)","(173, 0.0)","(240, 0.0)","(323, 0.0)","(464, 0.0)","(256, 0.0)","(391, 0.0)","(325, 0.0)","(285, 0.0)","(384, 0.0)","(422, 0.0)"
"(247, 0.009456392955903581)","(175, 0.0)","(244, 0.0)","(324, 0.0)","(465, 0.0)","(26, 0.0)","(392, 0.0)","(326, 0.0)","(287, 0.0)","(385, 0.0)","(423, 0.0)"
"(111, 0.0)","(176, 0.0)","(245, 0.0)","(325, 0.0)","(467, 0.0)","(261, 0.0)","(393, 0.0)","(327, 0.0)","(29, 0.0)","(388, 0.0)","(424, 0.0)"
"(117, 0.0)","(177, 0.0)","(248, 0.0)","(326, 0.0)","(468, 0.0)","(267, 0.0)","(395, 0.0)","(328, 0.0)","(290, 0.0)","(391, 0.0)","(425, 0.0)"
"(127, 0.0)","(179, 0.0)","(250, 0.0)","(327, 0.0)","(469, 0.0)","(271, 0.0)","(397, 0.0)","(329, 0.0)","(291, 0.0)","(394, 0.0)","(426, 0.0)"
"(128, 0.0)","(18, 0.0)","(251, 0.0)","(328, 0.0)","(47, 0.0)","(272, 0.0)","(398, 0.0)","(33, 0.0)","(292, 0.0)","(395, 0.0)","(428, 0.0)"
"(13, 0.0)","(184, 0.0)","(252, 0.0)","(331, 0.0)","(470, 0.0)","(274, 0.0)","(402, 0.0)","(330, 0.0)","(295, 0.0)","(399, 0.0)","(429, 0.0)"
