Topic-1,Topic-2,Topic-3,Topic-4,Topic-5,Topic-6,Topic-7,Topic-8,Topic-9,Topic-10,Topic-11
"(606, 0.2603715967810332)","(459, 0.18370696132910583)","(102, 0.272536677907402)","(136, 0.14083004498281618)","(164, 0.1232939013013166)","(12, 0.06680676440772258)","(543, 0.0936704343942192)","(142, 0.1403632217586219)","(322, 0.10735466547569936)","(180, 0.12876234956206148)","(128, 0.13437366802565873)"
"(319, 0.2578003269914659)","(639, 0.18184815842298716)","(467, 0.2716375210240968)","(640, 0.14081491896409687)","(137, 0.12150109874759378)","(27, 0.06628139925630532)","(522, 0.09175543092226905)","(163, 0.13983642231887192)","(444, 0.10729698695026563)","(620, 0.12858396067004857)","(46, 0.13437366802565873)"
"(440, 0.25511102225088744)","(133, 0.1806877056277966)","(651, 0.27094839475269483)","(1, 0.13898020747384926)","(170, 0.12139335715890713)","(115, 0.06587301847603531)","(78, 0.09137316758982748)","(475, 0.13813233936347982)","(24, 0.10699946288957844)","(170, 0.1278851954803843)","(478, 0.13397455842160547)"
"(673, 0.2534403590873958)","(101, 0.18016766246619767)","(200, 0.2636679443942168)","(63, 0.13854536693704594)","(209, 0.1193258483104009)","(663, 0.06468264515061949)","(38, 0.09078205793061164)","(628, 0.13807566988112274)","(61, 0.10696828968342788)","(402, 0.1259658875466451)","(383, 0.13345012671736195)"
"(655, 0.2520353920642258)","(89, 0.1781447168154457)","(61, 0.2611497096962525)","(109, 0.1374528969913316)","(185, 0.11930612339939592)","(677, 0.06460176833470883)","(170, 0.09050401115830786)","(597, 0.1374843366718648)","(582, 0.10687432899260219)","(596, 0.12536875415586204)","(131, 0.13269956558754023)"
"(221, 0.2511764201700203)","(655, 0.17716784199068383)","(321, 0.25554976094907816)","(81, 0.1357279097773437)","(620, 0.11906701378360694)","(548, 0.06406420570519557)","(555, 0.08989754787047728)","(60, 0.13658498960539048)","(121, 0.10677252630272865)","(190, 0.12536875415586196)","(202, 0.1324195085046606)"
"(591, 0.24932204850480089)","(569, 0.17613818944933463)","(23, 0.2550207304749369)","(115, 0.13449174983984183)","(511, 0.11857151593513256)","(646, 0.06352714749706306)","(535, 0.08980933350167813)","(635, 0.13617808892084035)","(401, 0.10575908105620589)","(309, 0.12510663909682657)","(162, 0.13232641059648562)"
"(70, 0.2488853724861226)","(646, 0.17263517083233706)","(293, 0.2516355005902982)","(68, 0.13433306604826037)","(428, 0.11740165884654002)","(170, 0.062484037782797194)","(279, 0.08940655416312604)","(571, 0.1357549051023575)","(456, 0.10572524011786487)","(204, 0.12501838641309218)","(442, 0.13190778609844298)"
"(462, 0.24593755397009892)","(446, 0.172452571316014)","(125, 0.2508098024943953)","(568, 0.13428006450052632)","(415, 0.11427038364716802)","(604, 0.06218717055277084)","(185, 0.08894788789191264)","(559, 0.13500595501345244)","(423, 0.10544565663171375)","(572, 0.12459081398004365)","(470, 0.13020850977386414)"
"(505, 0.24559820005480748)","(226, 0.17162076856606032)","(53, 0.25065921118541556)","(468, 0.13423070582983163)","(638, 0.11389633883459166)","(542, 0.06218717055277081)","(548, 0.08886357663093215)","(87, 0.13455633885029714)","(23, 0.10445782767459798)","(546, 0.12348978942670862)","(242, 0.12965993854965674)"
"(523, 0.24497714494121411)","(608, 0.17125663274525652)","(573, 0.25065921118541534)","(448, 0.1338629864623487)","(558, 0.11335825830319705)","(551, 0.062069498216094504)","(231, 0.08684078864815264)","(71, 0.1338147436549515)","(673, 0.10441711940577518)","(67, 0.12325430091618143)","(590, 0.12889564600147357)"
"(389, 0.2418807697405242)","(47, 0.17093547736445852)","(120, 0.24793802677720467)","(580, 0.13324194253769947)","(222, 0.11306799083140139)","(51, 0.0619961188860552)","(520, 0.08648503870200905)","(603, 0.1334032797070295)","(611, 0.1043674531571867)","(160, 0.12274428432004528)","(212, 0.12878684324031786)"
"(638, 0.2412333670224111)","(6, 0.16887840448024632)","(528, 0.24511471986692374)","(93, 0.13283435656193565)","(3, 0.11172359087640729)","(112, 0.06172128328924052)","(551, 0.08609671423307913)","(218, 0.13292835400746944)","(145, 0.10422061615681608)","(496, 0.1225956425445233)","(170, 0.12819524036755603)"
"(387, 0.2405746820716251)","(548, 0.16752877352645498)","(328, 0.24496166663947028)","(143, 0.13275373154151782)","(73, 0.11161041048071757)","(642, 0.06139054742968836)","(86, 0.08572106468449658)","(532, 0.13266047831305172)","(389, 0.10403565090192608)","(84, 0.12204237250544986)","(20, 0.1267756907814027)"
