Topic-1,Topic-2,Topic-3,Topic-4,Topic-5,Topic-6,Topic-7,Topic-8,Topic-9
"(166, 0.08920311736955668)","(164, 0.1074979636982702)","(424, 0.0942491719808082)","(295, 0.17360355766537253)","(444, 0.13241379546436718)","(194, 0.13077127653088522)","(475, 0.10962319428029513)","(651, 0.3306329529663127)","(279, 0.2462685846450801)"
"(19, 0.08861011481190952)","(415, 0.10749796369827018)","(222, 0.09401264861217369)","(547, 0.17107668365805337)","(298, 0.13239790351544597)","(495, 0.13077127653088522)","(16, 0.10860400595855646)","(70, 0.32730384071872504)","(548, 0.24577011059805454)"
"(107, 0.08516284760558214)","(420, 0.10749796369827017)","(583, 0.09342134019058719)","(623, 0.17057619700416526)","(498, 0.13239790351544597)","(617, 0.1307712765308852)","(473, 0.10860400595855646)","(537, 0.3269222857131786)","(101, 0.24577011059805443)"
"(472, 0.0849188377777864)","(183, 0.10704748924530781)","(116, 0.09321332856598392)","(52, 0.16880197468146618)","(550, 0.13159026319109246)","(579, 0.1307223580852524)","(110, 0.10592525533092313)","(645, 0.3220666413614184)","(651, 0.24422347060465566)"
"(578, 0.0849188377777864)","(11, 0.10703175263456928)","(563, 0.09218783996570305)","(446, 0.16819608908692196)","(234, 0.1295884040977571)","(446, 0.13046055070551055)","(563, 0.09991911649411345)","(531, 0.3193846779922935)","(674, 0.24262183346351784)"
"(158, 0.08390369269637836)","(670, 0.1065565355247851)","(107, 0.09191155651069118)","(516, 0.1671054293649226)","(668, 0.12749126516316808)","(537, 0.12998584015279696)","(28, 0.09984925047553464)","(560, 0.31938467799229325)","(70, 0.24176440734479615)"
"(64, 0.08169207878221733)","(202, 0.10513149474631527)","(472, 0.09189066907081926)","(669, 0.16446677528642423)","(90, 0.12688530119209443)","(237, 0.12983348314762386)","(390, 0.09823601958928752)","(444, 0.3191328589656642)","(531, 0.23591488330921348)"
"(14, 0.08131488069383079)","(507, 0.10513149474631521)","(578, 0.09189066907081926)","(497, 0.16329635631431613)","(532, 0.12680392232470944)","(31, 0.12947422676402182)","(324, 0.09689821660025215)","(576, 0.3166578987483646)","(560, 0.23591488330921326)"
"(406, 0.08114876227580926)","(656, 0.104878575568272)","(462, 0.0908784935847909)","(290, 0.16197052911476081)","(166, 0.12529077065998562)","(611, 0.12882522905929542)","(30, 0.09689821660025214)","(638, 0.3099999063828827)","(622, 0.2339932203259181)"
"(678, 0.07902192277585826)","(548, 0.10442399273380538)","(654, 0.09050929202897215)","(166, 0.1609049688430365)","(328, 0.1251416725676613)","(588, 0.1285400148657757)","(604, 0.09689821660025208)","(528, 0.306758965907571)","(229, 0.23006611594283832)"
