Topic-1,Topic-2,Topic-3,Topic-4,Topic-5,Topic-6,Topic-7,Topic-8,Topic-9
"(481, 0.0)","(467, 0.0)","(459, 0.0)","(471, 0.0)","(397, 0.0)","(489, 0.0)","(471, 0.0)","(423, 0.0)","(407, 0.0)"
"(482, 0.0)","(470, 0.0)","(46, 0.0)","(473, 0.0)","(4, 0.0)","(493, 0.0)","(472, 0.0)","(424, 0.0)","(41, 0.0)"
"(485, 0.0)","(473, 0.0)","(460, 0.0)","(474, 0.0)","(40, 0.0)","(494, 0.0)","(474, 0.0)","(425, 0.0)","(410, 0.0)"
"(486, 0.0)","(474, 0.0)","(463, 0.0)","(477, 0.0)","(400, 0.0)","(496, 0.0)","(476, 0.0)","(426, 0.0)","(412, 0.0)"
"(487, 0.0)","(476, 0.0)","(465, 0.0)","(478, 0.0)","(401, 0.0)","(497, 0.0)","(479, 0.0)","(427, 0.0)","(413, 0.0)"
"(488, 0.0)","(477, 0.0)","(467, 0.0)","(48, 0.0)","(402, 0.0)","(498, 0.0)","(48, 0.0)","(428, 0.0)","(414, 0.0)"
"(489, 0.0)","(478, 0.0)","(469, 0.0)","(480, 0.0)","(406, 0.0)","(499, 0.0)","(480, 0.0)","(429, 0.0)","(415, 0.0)"
"(49, 0.0)","(479, 0.0)","(470, 0.0)","(481, 0.0)","(407, 0.0)","(5, 0.0)","(482, 0.0)","(43, 0.0)","(417, 0.0)"
"(490, 0.0)","(48, 0.0)","(471, 0.0)","(482, 0.0)","(41, 0.0)","(50, 0.0)","(489, 0.0)","(433, 0.0)","(42, 0.0)"
"(491, 0.0)","(480, 0.0)","(473, 0.0)","(485, 0.0)","(410, 0.0)","(500, 0.0)","(490, 0.0)","(448, 0.0)","(420, 0.0)"
"(492, 0.0)","(481, 0.0)","(474, 0.0)","(486, 0.0)","(413, 0.0)","(503, 0.0)","(493, 0.0)","(45, 0.0)","(422, 0.0)"
"(493, 0.0)","(485, 0.0)","(476, 0.0)","(487, 0.0)","(414, 0.0)","(504, 0.0)","(494, 0.0)","(458, 0.0)","(423, 0.0)"
"(494, 0.0)","(486, 0.0)","(479, 0.0)","(488, 0.0)","(415, 0.0)","(506, 0.0)","(495, 0.0)","(459, 0.0)","(424, 0.0)"
"(495, 0.0)","(487, 0.0)","(48, 0.0)","(489, 0.0)","(416, 0.0)","(507, 0.0)","(497, 0.0)","(46, 0.0)","(425, 0.0)"
"(496, 0.0)","(489, 0.0)","(480, 0.0)","(490, 0.0)","(417, 0.0)","(51, 0.0)","(498, 0.0)","(460, 0.0)","(426, 0.0)"
"(498, 0.0)","(49, 0.0)","(482, 0.0)","(492, 0.0)","(418, 0.0)","(517, 0.0)","(499, 0.0)","(463, 0.0)","(427, 0.0)"
"(499, 0.0)","(490, 0.0)","(489, 0.0)","(493, 0.0)","(42, 0.0)","(519, 0.0)","(5, 0.0)","(464, 0.0)","(428, 0.0)"
"(5, 0.0)","(493, 0.0)","(49, 0.0)","(494, 0.0)","(420, 0.0)","(521, 0.0)","(50, 0.0)","(465, 0.0)","(429, 0.0)"
"(500, 0.0)","(494, 0.0)","(490, 0.0)","(495, 0.0)","(422, 0.0)","(523, 0.0)","(500, 0.0)","(466, 0.0)","(43, 0.0)"
"(501, 0.0)","(495, 0.0)","(491, 0.0)","(498, 0.0)","(423, 0.0)","(528, 0.0)","(502, 0.0)","(467, 0.0)","(433, 0.0)"
"(503, 0.0)","(496, 0.0)","(492, 0.0)","(499, 0.0)","(424, 0.0)","(529, 0.0)","(503, 0.0)","(469, 0.0)","(439, 0.0)"
"(504, 0.0)","(498, 0.0)","(493, 0.0)","(5, 0.0)","(425, 0.0)","(530, 0.0)","(504, 0.0)","(471, 0.0)","(441, 0.0)"
"(506, 0.0)","(499, 0.0)","(494, 0.0)","(50, 0.0)","(426, 0.0)","(533, 0.0)","(505, 0.0)","(473, 0.0)","(448, 0.0)"
"(508, 0.0)","(5, 0.0)","(495, 0.0)","(500, 0.0)","(427, 0.0)","(534, 0.0)","(506, 0.0)","(474, 0.0)","(45, 0.0)"
"(51, 0.0)","(500, 0.0)","(498, 0.0)","(503, 0.0)","(43, 0.0)","(535, 0.0)","(507, 0.0)","(478, 0.0)","(458, 0.0)"
"(510, 0.0)","(501, 0.0)","(499, 0.0)","(504, 0.0)","(433, 0.0)","(536, 0.0)","(51, 0.0)","(48, 0.0)","(459, 0.0)"
"(517, 0.0)","(503, 0.0)","(5, 0.0)","(506, 0.0)","(440, 0.0)","(539, 0.0)","(510, 0.0)","(480, 0.0)","(46, 0.0)"
"(518, 0.0)","(506, 0.0)","(50, 0.0)","(51, 0.0)","(446, 0.0)","(54, 0.0)","(516, 0.0)","(481, 0.0)","(460, 0.0)"
"(519, 0.0)","(508, 0.0)","(500, 0.0)","(517, 0.0)","(448, 0.0)","(540, 0.0)","(517, 0.0)","(482, 0.0)","(463, 0.0)"
"(520, 0.0)","(51, 0.0)","(501, 0.0)","(519, 0.0)","(45, 0.0)","(541, 0.0)","(518, 0.0)","(485, 0.0)","(464, 0.0)"
"(521, 0.0)","(510, 0.0)","(502, 0.0)","(521, 0.0)","(458, 0.0)","(542, 0.0)","(519, 0.0)","(486, 0.0)","(465, 0.0)"
"(523, 0.0)","(517, 0.0)","(503, 0.0)","(523, 0.0)","(459, 0.0)","(543, 0.0)","(52, 0.0)","(487, 0.0)","(466, 0.0)"
"(524, 0.0)","(518, 0.0)","(504, 0.0)","(524, 0.0)","(463, 0.0)","(544, 0.0)","(521, 0.0)","(488, 0.0)","(467, 0.0)"
"(529, 0.0)","(519, 0.0)","(505, 0.0)","(529, 0.0)","(466, 0.0)","(545, 0.0)","(522, 0.0)","(49, 0.0)","(468, 0.0)"
"(53, 0.0)","(520, 0.0)","(506, 0.0)","(530, 0.0)","(467, 0.0)","(546, 0.0)","(524, 0.0)","(492, 0.0)","(469, 0.0)"
"(530, 0.0)","(521, 0.0)","(508, 0.0)","(533, 0.0)","(47, 0.0)","(548, 0.0)","(528, 0.0)","(493, 0.0)","(471, 0.0)"
"(533, 0.0)","(523, 0.0)","(51, 0.0)","(534, 0.0)","(470, 0.0)","(549, 0.0)","(529, 0.0)","(494, 0.0)","(473, 0.0)"
"(534, 0.0)","(524, 0.0)","(510, 0.0)","(535, 0.0)","(471, 0.0)","(55, 0.0)","(530, 0.0)","(495, 0.0)","(474, 0.0)"
"(535, 0.0)","(53, 0.0)","(517, 0.0)","(536, 0.0)","(473, 0.0)","(550, 0.0)","(531, 0.0)","(496, 0.0)","(476, 0.0)"
"(536, 0.0)","(530, 0.0)","(518, 0.0)","(54, 0.0)","(474, 0.0)","(551, 0.0)","(532, 0.0)","(497, 0.0)","(478, 0.0)"
"(538, 0.0)","(531, 0.0)","(519, 0.0)","(540, 0.0)","(476, 0.0)","(552, 0.0)","(533, 0.0)","(498, 0.0)","(48, 0.0)"
"(54, 0.0)","(533, 0.0)","(521, 0.0)","(542, 0.0)","(48, 0.0)","(555, 0.0)","(534, 0.0)","(5, 0.0)","(480, 0.0)"
"(540, 0.0)","(534, 0.0)","(524, 0.0)","(543, 0.0)","(482, 0.0)","(556, 0.0)","(535, 0.0)","(500, 0.0)","(481, 0.0)"
"(542, 0.0)","(535, 0.0)","(529, 0.0)","(544, 0.0)","(489, 0.0)","(559, 0.0)","(536, 0.0)","(501, 0.0)","(482, 0.0)"
"(543, 0.0)","(536, 0.0)","(530, 0.0)","(545, 0.0)","(490, 0.0)","(560, 0.0)","(537, 0.0)","(503, 0.0)","(485, 0.0)"
"(544, 0.0)","(538, 0.0)","(533, 0.0)","(546, 0.0)","(492, 0.0)","(561, 0.0)","(538, 0.0)","(504, 0.0)","(486, 0.0)"
"(545, 0.0)","(540, 0.0)","(534, 0.0)","(548, 0.0)","(493, 0.0)","(563, 0.0)","(539, 0.0)","(505, 0.0)","(487, 0.0)"
"(549, 0.0)","(542, 0.0)","(535, 0.0)","(549, 0.0)","(494, 0.0)","(564, 0.0)","(54, 0.0)","(507, 0.0)","(488, 0.0)"
"(550, 0.0)","(543, 0.0)","(536, 0.0)","(55, 0.0)","(497, 0.0)","(565, 0.0)","(542, 0.0)","(508, 0.0)","(49, 0.0)"
"(551, 0.0)","(544, 0.0)","(538, 0.0)","(550, 0.0)","(500, 0.0)","(568, 0.0)","(543, 0.0)","(509, 0.0)","(490, 0.0)"
"(552, 0.0)","(545, 0.0)","(539, 0.0)","(551, 0.0)","(503, 0.0)","(57, 0.0)","(545, 0.0)","(51, 0.0)","(492, 0.0)"
"(554, 0.0)","(549, 0.0)","(54, 0.0)","(552, 0.0)","(504, 0.0)","(571, 0.0)","(548, 0.0)","(511, 0.0)","(493, 0.0)"
"(555, 0.0)","(55, 0.0)","(542, 0.0)","(555, 0.0)","(506, 0.0)","(572, 0.0)","(549, 0.0)","(516, 0.0)","(494, 0.0)"
"(556, 0.0)","(550, 0.0)","(543, 0.0)","(558, 0.0)","(507, 0.0)","(573, 0.0)","(552, 0.0)","(519, 0.0)","(495, 0.0)"
"(558, 0.0)","(551, 0.0)","(545, 0.0)","(559, 0.0)","(51, 0.0)","(574, 0.0)","(559, 0.0)","(529, 0.0)","(496, 0.0)"
"(559, 0.0)","(552, 0.0)","(548, 0.0)","(560, 0.0)","(510, 0.0)","(575, 0.0)","(562, 0.0)","(533, 0.0)","(498, 0.0)"
"(560, 0.0)","(554, 0.0)","(549, 0.0)","(561, 0.0)","(517, 0.0)","(577, 0.0)","(564, 0.0)","(539, 0.0)","(5, 0.0)"
"(561, 0.0)","(555, 0.0)","(552, 0.0)","(562, 0.0)","(521, 0.0)","(58, 0.0)","(565, 0.0)","(54, 0.0)","(50, 0.0)"
"(562, 0.0)","(556, 0.0)","(555, 0.0)","(563, 0.0)","(524, 0.0)","(581, 0.0)","(57, 0.0)","(540, 0.0)","(500, 0.0)"
"(563, 0.0)","(558, 0.0)","(558, 0.0)","(564, 0.0)","(528, 0.0)","(582, 0.0)","(572, 0.0)","(541, 0.0)","(501, 0.0)"
"(564, 0.0)","(559, 0.0)","(559, 0.0)","(565, 0.0)","(530, 0.0)","(583, 0.0)","(573, 0.0)","(542, 0.0)","(502, 0.0)"
"(565, 0.0)","(560, 0.0)","(564, 0.0)","(57, 0.0)","(531, 0.0)","(584, 0.0)","(574, 0.0)","(545, 0.0)","(503, 0.0)"
"(569, 0.0)","(561, 0.0)","(565, 0.0)","(571, 0.0)","(533, 0.0)","(585, 0.0)","(575, 0.0)","(546, 0.0)","(504, 0.0)"
"(57, 0.0)","(562, 0.0)","(569, 0.0)","(575, 0.0)","(534, 0.0)","(586, 0.0)","(578, 0.0)","(549, 0.0)","(505, 0.0)"
"(571, 0.0)","(563, 0.0)","(57, 0.0)","(577, 0.0)","(535, 0.0)","(587, 0.0)","(58, 0.0)","(555, 0.0)","(507, 0.0)"
"(575, 0.0)","(564, 0.0)","(575, 0.0)","(581, 0.0)","(536, 0.0)","(589, 0.0)","(582, 0.0)","(558, 0.0)","(509, 0.0)"
"(576, 0.0)","(565, 0.0)","(576, 0.0)","(582, 0.0)","(538, 0.0)","(59, 0.0)","(584, 0.0)","(561, 0.0)","(51, 0.0)"
"(577, 0.0)","(569, 0.0)","(582, 0.0)","(583, 0.0)","(542, 0.0)","(590, 0.0)","(585, 0.0)","(562, 0.0)","(519, 0.0)"
"(581, 0.0)","(57, 0.0)","(584, 0.0)","(584, 0.0)","(543, 0.0)","(591, 0.0)","(586, 0.0)","(564, 0.0)","(524, 0.0)"
"(582, 0.0)","(571, 0.0)","(585, 0.0)","(585, 0.0)","(545, 0.0)","(593, 0.0)","(587, 0.0)","(569, 0.0)","(529, 0.0)"
"(583, 0.0)","(575, 0.0)","(586, 0.0)","(586, 0.0)","(549, 0.0)","(594, 0.0)","(59, 0.0)","(57, 0.0)","(533, 0.0)"
"(584, 0.0)","(577, 0.0)","(587, 0.0)","(587, 0.0)","(552, 0.0)","(596, 0.0)","(590, 0.0)","(571, 0.0)","(54, 0.0)"
"(586, 0.0)","(579, 0.0)","(588, 0.0)","(589, 0.0)","(555, 0.0)","(598, 0.0)","(591, 0.0)","(577, 0.0)","(540, 0.0)"
"(587, 0.0)","(581, 0.0)","(59, 0.0)","(59, 0.0)","(558, 0.0)","(6, 0.0)","(593, 0.0)","(579, 0.0)","(541, 0.0)"
"(588, 0.0)","(582, 0.0)","(590, 0.0)","(590, 0.0)","(559, 0.0)","(60, 0.0)","(594, 0.0)","(583, 0.0)","(542, 0.0)"
"(589, 0.0)","(583, 0.0)","(591, 0.0)","(591, 0.0)","(562, 0.0)","(600, 0.0)","(596, 0.0)","(584, 0.0)","(545, 0.0)"
"(59, 0.0)","(584, 0.0)","(592, 0.0)","(592, 0.0)","(564, 0.0)","(603, 0.0)","(598, 0.0)","(585, 0.0)","(549, 0.0)"
"(590, 0.0)","(586, 0.0)","(593, 0.0)","(593, 0.0)","(565, 0.0)","(604, 0.0)","(60, 0.0)","(586, 0.0)","(556, 0.0)"
"(591, 0.0)","(587, 0.0)","(594, 0.0)","(594, 0.0)","(57, 0.0)","(605, 0.0)","(600, 0.0)","(587, 0.0)","(558, 0.0)"
"(592, 0.0)","(588, 0.0)","(595, 0.0)","(596, 0.0)","(572, 0.0)","(606, 0.0)","(606, 0.0)","(588, 0.0)","(561, 0.0)"
"(593, 0.0)","(589, 0.0)","(596, 0.0)","(598, 0.0)","(573, 0.0)","(607, 0.0)","(608, 0.0)","(589, 0.0)","(562, 0.0)"
"(594, 0.0)","(59, 0.0)","(597, 0.0)","(599, 0.0)","(574, 0.0)","(608, 0.0)","(61, 0.0)","(59, 0.0)","(564, 0.0)"
"(595, 0.0)","(590, 0.0)","(598, 0.0)","(6, 0.0)","(575, 0.0)","(609, 0.0)","(610, 0.0)","(590, 0.0)","(569, 0.0)"
"(596, 0.0)","(591, 0.0)","(599, 0.0)","(60, 0.0)","(576, 0.0)","(61, 0.0)","(613, 0.0)","(591, 0.0)","(57, 0.0)"
"(597, 0.0)","(592, 0.0)","(60, 0.0)","(600, 0.0)","(58, 0.0)","(610, 0.0)","(614, 0.0)","(592, 0.0)","(577, 0.0)"
"(598, 0.0)","(593, 0.0)","(600, 0.0)","(601, 0.0)","(582, 0.0)","(612, 0.0)","(615, 0.0)","(593, 0.0)","(579, 0.0)"
"(599, 0.0)","(594, 0.0)","(601, 0.0)","(603, 0.0)","(584, 0.0)","(614, 0.0)","(617, 0.0)","(594, 0.0)","(581, 0.0)"
"(6, 0.0)","(595, 0.0)","(606, 0.0)","(604, 0.0)","(585, 0.0)","(615, 0.0)","(618, 0.0)","(595, 0.0)","(583, 0.0)"
"(60, 0.0)","(596, 0.0)","(608, 0.0)","(605, 0.0)","(586, 0.0)","(616, 0.0)","(621, 0.0)","(597, 0.0)","(584, 0.0)"
"(601, 0.0)","(597, 0.0)","(609, 0.0)","(606, 0.0)","(587, 0.0)","(618, 0.0)","(623, 0.0)","(598, 0.0)","(586, 0.0)"
"(603, 0.0)","(598, 0.0)","(61, 0.0)","(607, 0.0)","(59, 0.0)","(62, 0.0)","(624, 0.0)","(599, 0.0)","(587, 0.0)"
"(604, 0.0)","(599, 0.0)","(610, 0.0)","(608, 0.0)","(590, 0.0)","(621, 0.0)","(625, 0.0)","(6, 0.0)","(588, 0.0)"
"(605, 0.0)","(6, 0.0)","(613, 0.0)","(609, 0.0)","(591, 0.0)","(623, 0.0)","(626, 0.0)","(600, 0.0)","(589, 0.0)"
"(606, 0.0)","(60, 0.0)","(614, 0.0)","(61, 0.0)","(592, 0.0)","(624, 0.0)","(627, 0.0)","(603, 0.0)","(59, 0.0)"
"(608, 0.0)","(601, 0.0)","(615, 0.0)","(610, 0.0)","(593, 0.0)","(625, 0.0)","(628, 0.0)","(604, 0.0)","(590, 0.0)"
"(609, 0.0)","(603, 0.0)","(617, 0.0)","(612, 0.0)","(594, 0.0)","(626, 0.0)","(629, 0.0)","(605, 0.0)","(591, 0.0)"
"(61, 0.0)","(604, 0.0)","(618, 0.0)","(613, 0.0)","(596, 0.0)","(627, 0.0)","(63, 0.0)","(607, 0.0)","(592, 0.0)"
"(610, 0.0)","(605, 0.0)","(619, 0.0)","(614, 0.0)","(598, 0.0)","(628, 0.0)","(630, 0.0)","(608, 0.0)","(593, 0.0)"
"(612, 0.0)","(606, 0.0)","(62, 0.0)","(615, 0.0)","(60, 0.0)","(629, 0.0)","(631, 0.0)","(609, 0.0)","(594, 0.0)"
"(613, 0.0)","(607, 0.0)","(624, 0.0)","(616, 0.0)","(600, 0.0)","(63, 0.0)","(632, 0.0)","(61, 0.0)","(595, 0.0)"
"(614, 0.0)","(608, 0.0)","(625, 0.0)","(617, 0.0)","(601, 0.0)","(630, 0.0)","(633, 0.0)","(610, 0.0)","(598, 0.0)"
"(615, 0.0)","(609, 0.0)","(626, 0.0)","(618, 0.0)","(606, 0.0)","(631, 0.0)","(634, 0.0)","(612, 0.0)","(599, 0.0)"
"(616, 0.0)","(61, 0.0)","(627, 0.0)","(62, 0.0)","(607, 0.0)","(632, 0.0)","(636, 0.0)","(613, 0.0)","(6, 0.0)"
"(617, 0.0)","(612, 0.0)","(629, 0.0)","(625, 0.0)","(608, 0.0)","(633, 0.0)","(637, 0.0)","(614, 0.0)","(600, 0.0)"
"(618, 0.0)","(614, 0.0)","(63, 0.0)","(626, 0.0)","(609, 0.0)","(634, 0.0)","(64, 0.0)","(616, 0.0)","(603, 0.0)"
"(619, 0.0)","(615, 0.0)","(630, 0.0)","(627, 0.0)","(61, 0.0)","(635, 0.0)","(640, 0.0)","(617, 0.0)","(604, 0.0)"
"(62, 0.0)","(618, 0.0)","(631, 0.0)","(629, 0.0)","(610, 0.0)","(636, 0.0)","(641, 0.0)","(618, 0.0)","(609, 0.0)"
"(624, 0.0)","(619, 0.0)","(632, 0.0)","(63, 0.0)","(614, 0.0)","(637, 0.0)","(643, 0.0)","(619, 0.0)","(61, 0.0)"
"(625, 0.0)","(62, 0.0)","(633, 0.0)","(630, 0.0)","(615, 0.0)","(638, 0.0)","(644, 0.0)","(62, 0.0)","(610, 0.0)"
"(626, 0.0)","(624, 0.0)","(634, 0.0)","(631, 0.0)","(617, 0.0)","(64, 0.0)","(646, 0.0)","(621, 0.0)","(615, 0.0)"
"(627, 0.0)","(625, 0.0)","(637, 0.0)","(632, 0.0)","(618, 0.0)","(640, 0.0)","(647, 0.0)","(622, 0.0)","(618, 0.0)"
"(629, 0.0)","(626, 0.0)","(639, 0.0)","(633, 0.0)","(62, 0.0)","(641, 0.0)","(649, 0.0)","(624, 0.0)","(619, 0.0)"
"(63, 0.0)","(627, 0.0)","(64, 0.0)","(634, 0.0)","(620, 0.0)","(642, 0.0)","(650, 0.0)","(625, 0.0)","(62, 0.0)"
"(630, 0.0)","(629, 0.0)","(640, 0.0)","(635, 0.0)","(621, 0.0)","(643, 0.0)","(651, 0.0)","(626, 0.0)","(626, 0.0)"
"(631, 0.0)","(63, 0.0)","(641, 0.0)","(637, 0.0)","(623, 0.0)","(644, 0.0)","(652, 0.0)","(627, 0.0)","(627, 0.0)"
"(632, 0.0)","(630, 0.0)","(643, 0.0)","(64, 0.0)","(624, 0.0)","(645, 0.0)","(653, 0.0)","(629, 0.0)","(629, 0.0)"
"(635, 0.0)","(632, 0.0)","(644, 0.0)","(640, 0.0)","(625, 0.0)","(646, 0.0)","(655, 0.0)","(63, 0.0)","(63, 0.0)"
"(637, 0.0)","(635, 0.0)","(65, 0.0)","(641, 0.0)","(626, 0.0)","(647, 0.0)","(656, 0.0)","(630, 0.0)","(630, 0.0)"
"(639, 0.0)","(637, 0.0)","(651, 0.0)","(643, 0.0)","(627, 0.0)","(651, 0.0)","(657, 0.0)","(631, 0.0)","(631, 0.0)"
"(640, 0.0)","(639, 0.0)","(652, 0.0)","(644, 0.0)","(628, 0.0)","(652, 0.0)","(661, 0.0)","(632, 0.0)","(632, 0.0)"
"(641, 0.0)","(640, 0.0)","(653, 0.0)","(645, 0.0)","(629, 0.0)","(653, 0.0)","(662, 0.0)","(634, 0.0)","(634, 0.0)"
"(642, 0.0)","(641, 0.0)","(66, 0.0)","(648, 0.0)","(63, 0.0)","(655, 0.0)","(664, 0.0)","(639, 0.0)","(639, 0.0)"
"(643, 0.0)","(642, 0.0)","(660, 0.0)","(65, 0.0)","(630, 0.0)","(657, 0.0)","(666, 0.0)","(644, 0.0)","(64, 0.0)"
"(644, 0.0)","(643, 0.0)","(661, 0.0)","(651, 0.0)","(631, 0.0)","(661, 0.0)","(667, 0.0)","(648, 0.0)","(644, 0.0)"
"(645, 0.0)","(644, 0.0)","(662, 0.0)","(652, 0.0)","(632, 0.0)","(662, 0.0)","(668, 0.0)","(649, 0.0)","(648, 0.0)"
"(648, 0.0)","(645, 0.0)","(664, 0.0)","(653, 0.0)","(636, 0.0)","(664, 0.0)","(67, 0.0)","(65, 0.0)","(649, 0.0)"
"(65, 0.0)","(648, 0.0)","(665, 0.0)","(654, 0.0)","(637, 0.0)","(665, 0.0)","(670, 0.0)","(654, 0.0)","(65, 0.0)"
"(651, 0.0)","(65, 0.0)","(666, 0.0)","(66, 0.0)","(640, 0.0)","(666, 0.0)","(671, 0.0)","(655, 0.0)","(650, 0.0)"
"(652, 0.0)","(651, 0.0)","(667, 0.0)","(660, 0.0)","(641, 0.0)","(667, 0.0)","(672, 0.0)","(657, 0.0)","(654, 0.0)"
"(653, 0.0)","(652, 0.0)","(669, 0.0)","(661, 0.0)","(643, 0.0)","(671, 0.0)","(673, 0.0)","(66, 0.0)","(655, 0.0)"
"(654, 0.0)","(653, 0.0)","(670, 0.0)","(662, 0.0)","(644, 0.0)","(673, 0.0)","(674, 0.0)","(660, 0.0)","(656, 0.0)"
"(661, 0.0)","(654, 0.0)","(671, 0.0)","(664, 0.0)","(646, 0.0)","(674, 0.0)","(675, 0.0)","(661, 0.0)","(657, 0.0)"
"(662, 0.0)","(661, 0.0)","(673, 0.0)","(665, 0.0)","(65, 0.0)","(675, 0.0)","(676, 0.0)","(663, 0.0)","(660, 0.0)"
"(663, 0.0)","(662, 0.0)","(674, 0.0)","(666, 0.0)","(651, 0.0)","(677, 0.0)","(677, 0.0)","(665, 0.0)","(661, 0.0)"
"(664, 0.0)","(663, 0.0)","(677, 0.0)","(667, 0.0)","(652, 0.0)","(678, 0.0)","(678, 0.0)","(666, 0.0)","(663, 0.0)"
"(665, 0.0)","(664, 0.0)","(678, 0.0)","(671, 0.0)","(653, 0.0)","(679, 0.0)","(679, 0.0)","(667, 0.0)","(669, 0.0)"
"(666, 0.0)","(665, 0.0)","(679, 0.0)","(673, 0.0)","(655, 0.0)","(68, 0.0)","(68, 0.0)","(670, 0.0)","(67, 0.0)"
"(667, 0.0)","(666, 0.0)","(68, 0.0)","(674, 0.0)","(661, 0.0)","(680, 0.0)","(680, 0.0)","(675, 0.0)","(675, 0.0)"
"(671, 0.0)","(667, 0.0)","(680, 0.0)","(677, 0.0)","(662, 0.0)","(681, 0.0)","(681, 0.0)","(678, 0.0)","(678, 0.0)"
"(674, 0.0)","(671, 0.0)","(681, 0.0)","(678, 0.0)","(664, 0.0)","(69, 0.0)","(69, 0.0)","(679, 0.0)","(679, 0.0)"
"(677, 0.0)","(674, 0.0)","(7, 0.0)","(679, 0.0)","(665, 0.0)","(7, 0.0)","(7, 0.0)","(68, 0.0)","(68, 0.0)"
"(68, 0.0)","(677, 0.0)","(70, 0.0)","(68, 0.0)","(666, 0.0)","(70, 0.0)","(70, 0.0)","(680, 0.0)","(680, 0.0)"
"(680, 0.0)","(681, 0.0)","(71, 0.0)","(680, 0.0)","(667, 0.0)","(72, 0.0)","(72, 0.0)","(681, 0.0)","(681, 0.0)"
"(681, 0.0)","(7, 0.0)","(72, 0.0)","(681, 0.0)","(671, 0.0)","(73, 0.0)","(73, 0.0)","(69, 0.0)","(69, 0.0)"
"(7, 0.0)","(70, 0.0)","(74, 0.0)","(7, 0.0)","(673, 0.0)","(74, 0.0)","(74, 0.0)","(71, 0.0)","(71, 0.0)"
"(70, 0.0)","(71, 0.0)","(75, 0.0)","(70, 0.0)","(674, 0.0)","(75, 0.0)","(75, 0.0)","(72, 0.0)","(72, 0.0)"
"(71, 0.0)","(72, 0.0)","(76, 0.0)","(72, 0.0)","(677, 0.0)","(76, 0.0)","(76, 0.0)","(73, 0.0)","(73, 0.0)"
"(72, 0.0)","(74, 0.0)","(77, 0.0)","(74, 0.0)","(68, 0.0)","(77, 0.0)","(77, 0.0)","(76, 0.0)","(76, 0.0)"
"(74, 0.0)","(75, 0.0)","(78, 0.0)","(75, 0.0)","(680, 0.0)","(78, 0.0)","(78, 0.0)","(77, 0.0)","(77, 0.0)"
"(75, 0.0)","(76, 0.0)","(79, 0.0)","(76, 0.0)","(681, 0.0)","(79, 0.0)","(79, 0.0)","(79, 0.0)","(79, 0.0)"
"(76, 0.0)","(77, 0.0)","(8, 0.0)","(77, 0.0)","(7, 0.0)","(8, 0.0)","(8, 0.0)","(8, 0.0)","(8, 0.0)"
"(77, 0.0)","(78, 0.0)","(80, 0.0)","(78, 0.0)","(72, 0.0)","(81, 0.0)","(81, 0.0)","(80, 0.0)","(80, 0.0)"
"(78, 0.0)","(8, 0.0)","(83, 0.0)","(79, 0.0)","(73, 0.0)","(83, 0.0)","(83, 0.0)","(81, 0.0)","(81, 0.0)"
"(8, 0.0)","(80, 0.0)","(85, 0.0)","(8, 0.0)","(74, 0.0)","(85, 0.0)","(85, 0.0)","(83, 0.0)","(83, 0.0)"
"(80, 0.0)","(83, 0.0)","(86, 0.0)","(83, 0.0)","(78, 0.0)","(87, 0.0)","(87, 0.0)","(84, 0.0)","(84, 0.0)"
"(83, 0.0)","(85, 0.0)","(87, 0.0)","(85, 0.0)","(85, 0.0)","(88, 0.0)","(88, 0.0)","(85, 0.0)","(85, 0.0)"
"(85, 0.0)","(86, 0.0)","(89, 0.0)","(87, 0.0)","(88, 0.0)","(89, 0.0)","(89, 0.0)","(88, 0.0)","(86, 0.0)"
"(87, 0.0)","(87, 0.0)","(9, 0.0)","(89, 0.0)","(89, 0.0)","(9, 0.0)","(9, 0.0)","(9, 0.0)","(9, 0.0)"
"(89, 0.0)","(89, 0.0)","(90, 0.0)","(9, 0.0)","(9, 0.0)","(90, 0.0)","(90, 0.0)","(90, 0.0)","(90, 0.0)"
"(9, 0.0)","(9, 0.0)","(92, 0.0)","(90, 0.0)","(92, 0.0)","(92, 0.0)","(92, 0.0)","(92, 0.0)","(92, 0.0)"
"(92, 0.0)","(92, 0.0)","(93, 0.0)","(92, 0.0)","(93, 0.0)","(93, 0.0)","(93, 0.0)","(93, 0.0)","(93, 0.0)"
"(93, 0.0)","(93, 0.0)","(94, 0.0)","(93, 0.0)","(95, 0.0)","(95, 0.0)","(95, 0.0)","(94, 0.0)","(94, 0.0)"
"(95, 0.0)","(95, 0.0)","(95, 0.0)","(95, 0.0)","(96, 0.0)","(96, 0.0)","(96, 0.0)","(96, 0.0)","(96, 0.0)"
"(96, 0.0)","(96, 0.0)","(96, 0.0)","(96, 0.0)","(97, 0.0)","(97, 0.0)","(97, 0.0)","(97, 0.0)","(97, 0.0)"
