Topic-1,Topic-2,Topic-3,Topic-4,Topic-5,Topic-6,Topic-7,Topic-8,Topic-9,Topic-10,Topic-11,Topic-12,Topic-13,Topic-14,Topic-15,Topic-16,Topic-17,Topic-18
"(394, 0.10034352676537243)","(39, 0.12268734323383808)","(194, 0.10456341492547336)","(268, 0.11643224432284262)","(542, 0.0724515935011947)","(523, 0.1298765695552079)","(636, 0.1182882391687122)","(559, 0.12081468349196592)","(545, 0.1462253366302816)","(606, 0.07550168694054957)","(68, 0.0516053185542263)","(114, 0.09640203310815197)","(642, 0.0734811440985221)","(632, 0.05924007158232884)","(318, 0.07987049871479934)","(221, 0.020442694592501337)","(538, 0.10150786694563103)","(550, 0.10501525726187082)"
"(576, 0.09962564912091222)","(499, 0.12226805472935379)","(173, 0.10440981074682937)","(601, 0.11579685103408441)","(293, 0.07181961557326583)","(443, 0.12912565121476133)","(506, 0.11814633416009246)","(610, 0.12079661565012373)","(147, 0.14582330801959711)","(388, 0.07500754445784912)","(190, 0.05158281046267098)","(646, 0.09621609214232099)","(607, 0.07347735275313583)","(457, 0.0592356199653029)","(401, 0.07957731608299617)","(657, 0.01706412816304737)","(28, 0.10149014560165409)","(220, 0.1046712593022956)"
"(9, 0.09895310171726265)","(581, 0.12178683631991259)","(481, 0.10439540028464867)","(543, 0.11564759500935988)","(81, 0.07106386640505287)","(603, 0.12749639542848537)","(49, 0.11806055374363313)","(583, 0.1206542588980093)","(72, 0.14393240582172867)","(164, 0.07492426271440264)","(503, 0.05155832316137883)","(47, 0.09577110769884956)","(578, 0.07336777451082523)","(46, 0.05896350366463627)","(583, 0.07903836300669569)","(164, 0.015401667850305374)","(558, 0.10113844130420445)","(460, 0.10451720857531215)"
"(328, 0.0986832869678219)","(62, 0.12161464747613887)","(393, 0.10400861986614779)","(323, 0.11505377609960833)","(511, 0.07013436456694608)","(488, 0.12668189480229566)","(504, 0.11796741910570693)","(499, 0.11986251468099271)","(60, 0.14283386779884996)","(188, 0.07447024868493532)","(114, 0.05146547975023886)","(534, 0.09537255628848976)","(474, 0.07328632844523732)","(541, 0.05792761050703576)","(506, 0.07888742642583707)","(248, 0.014537573860966458)","(481, 0.10112727146644994)","(591, 0.10445967870861454)"
"(195, 0.09866310685545)","(38, 0.12153277984874196)","(88, 0.10367906623875933)","(446, 0.11492346895002034)","(253, 0.06955769409072819)","(108, 0.12623527607475096)","(634, 0.11681047371089041)","(468, 0.11956066637187006)","(511, 0.14244454943529414)","(648, 0.07417318474477032)","(597, 0.051394370419321815)","(277, 0.09529582613702327)","(201, 0.07328187332689982)","(141, 0.05760686143482279)","(623, 0.07885152931327856)","(219, 0.01081896058210357)","(643, 0.10112555977383064)","(75, 0.10437960379689415)"
"(562, 0.09800157624393568)","(625, 0.12140405237764726)","(387, 0.10348531978827896)","(447, 0.11426362857155836)","(191, 0.06932279074328761)","(293, 0.12532566188599148)","(130, 0.11671265969903857)","(536, 0.11924003835403828)","(467, 0.14229699936885326)","(632, 0.0736248190774298)","(509, 0.0513346020342144)","(309, 0.09513328863153031)","(575, 0.07240107723920591)","(55, 0.05730111815705294)","(67, 0.07878448198667161)","(302, 0.010554751560026285)","(317, 0.10107763983160416)","(93, 0.10436448024640899)"
"(521, 0.09791496079299511)","(606, 0.12129351726808084)","(245, 0.10338794089986858)","(597, 0.1140461289621956)","(28, 0.06925184817577103)","(466, 0.12385387201223243)","(641, 0.11597654784858155)","(116, 0.1191311692168119)","(164, 0.14197187371276973)","(327, 0.07281841588061996)","(429, 0.05126955586775188)","(426, 0.09451521927285805)","(505, 0.07238044454940032)","(95, 0.05670448663329957)","(325, 0.07871538146463648)","(503, 0.008575618091469502)","(578, 0.10106787941503968)","(393, 0.1042436866239579)"
"(535, 0.09711753750317308)","(57, 0.12108641684434518)","(271, 0.10293837381308493)","(605, 0.11357394476131569)","(298, 0.0687082780076013)","(54, 0.12361622592195697)","(137, 0.11508474700414942)","(224, 0.11865451711261077)","(452, 0.14195139715767413)","(611, 0.0701200922724494)","(603, 0.05125756238407922)","(678, 0.09415803339059053)","(476, 0.07228596302067024)","(38, 0.05625837160396855)","(36, 0.0775564368717977)","(125, 0.008223742256942437)","(47, 0.10091819104737633)","(173, 0.10419158681653254)"
"(279, 0.09708013128603699)","(309, 0.12100472497666852)","(415, 0.10275927329284991)","(573, 0.11306199302983555)","(45, 0.068599213425366)","(407, 0.12356078522608342)","(510, 0.11478522148882177)","(49, 0.11852070676347343)","(560, 0.14165929029932017)","(504, 0.06971850066053475)","(24, 0.051230595461991005)","(445, 0.09373887314923518)","(619, 0.07143988463972464)","(634, 0.05593700845628391)","(165, 0.07747190072700462)","(652, 0.007097290024347331)","(603, 0.10048145715513758)","(245, 0.10395344703620969)"
"(610, 0.09686085103681573)","(600, 0.1204276175877408)","(138, 0.10271743120488554)","(655, 0.11304060149116855)","(160, 0.06841801344777487)","(136, 0.12281753616784898)","(588, 0.11472070017591128)","(145, 0.11798880064166174)","(577, 0.14131051493442384)","(317, 0.06838573347886957)","(479, 0.05073770040732254)","(84, 0.0934444469106927)","(421, 0.07089605715707456)","(601, 0.055878977043600446)","(242, 0.07729764238560911)","(98, 0.0)","(224, 0.10045082462188536)","(496, 0.1035750744040057)"
